                                                    ,KOL_ID,Username,Followers,Country,Social media URL,Restaurant name,Restaurant ID,Cuisine Type,Package Type,Package price,Package Name,Alergies,Comments,Fee per content,Hotel required,Validation 1,Sales in charge,Target Date,Target time,No people,Sales Check,Line_thread_id,Booking ID,Target post date,Post details,Notes,index
,HH-LOCAW,carmen_wqw,"99,495",Bangkok,,Siam Yacht Club Royal Orchid Sheraton Riverside,3862,"International, Italian, Japanese, Thai",Party Pack,,,,,"6,355",TRUE,Approved,ravi@hungryhub.com,28/03/2025,7:30:00 pm,3,Validated,,,28/04/2025,Check Later,,
,HH-LOCAW,carmen_wqw,"99,495",Bangkok,,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,,,,,"6,355",TRUE,Approved,surasit@hungryhub.com,29/03/2025,12:30:00 pm,3,Validated,,,20/04/2025,Check Later,,
,HH-LOCAW,carmen_wqw,"99,495",Bangkok,,Saffron Contemporary Thai Signature Rooftop Banyan Tree Bangkok,2506,"Thai, Thai Isaan, Thai Southern, Thai Northern",Party Pack,,,,,"6,355",TRUE,Approved,"ravi@hungryhub.com, naravadee.sw@banyantree.com,",29/03/2025,7:00:00 pm,3,Validated,,,22/04/2025,Check Later,,
,HH-INCHH,chai_shin_yih,"22,272",Bangkok,,Siam Yacht Club Royal Orchid Sheraton Riverside,3862,"International, Italian, Japanese, Thai",Party Pack,1990, The Bar: 3 Dishes & 8 Cocktails or 1 Bottle of Wine for 4 People,,,"2,754",TRUE,Approved,ravi@hungryhub.com,29/03/2025,7:00:00 pm,3,Validated,,,,Check Later,,
,HH-INCHH,chai_shin_yih,"22,272",Bangkok,,NAMA Japanese and Seafood Buffet (Hungry Hub),5149,Japanese,All You Can Eat,1650, Premium Box 1 Set + Exclusive Menu + Buffet Line (Sat-Sun),,,"2,754",TRUE,Approved,earth@hungryhub.com,30/03/2025,11:00:00 am,3,Validated,,,,Check Later,,
,HH-INCHH,chai_shin_yih,"22,272",Bangkok,,Vertigo TOO Banyan Tree,712,"Fusion, International",Party Pack,3098, Romantic Set with 1 Bottle of Wine OR 4 Glasses of Cocktail for 2 People (Book 2 Days in Advance),,,"2,754",TRUE,Approved,"ravi@hungryhub.com, naravadee.sw@banyantree.com,",30/03/2025,7:00:00 pm,3,Asked Guillaume,574486794880417923,,,Check Later,,
,HH-INCHH,chai_shin_yih,"22,272",Bangkok,,"Jim Thompson, A Thai Restaurant",4195,Thai,Party Pack,2590,Jim's Party A for 2 People inc. 1 drink per person,,,"2,754",TRUE,Approved,ravi@hungryhub.com,31/03/2025,11:30:00 am,3,Validated,,,,Check Later,,
,HH-INCHH,chai_shin_yih,"22,272",Bangkok,,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599,Hungry Hub Pack A - Select 1 Premium Menu,,,"2,754",TRUE,Approved,surasit@hungryhub.com,31/03/2025,11:30:00 am,3,Validated,,,,Check Later,,
,HH-LOJEG,jesszhengg,"13,331",Bangkok,,Escape Bangkok Emquartier,4750,"International, Italian, American, Spanish, European",Party Pack,1650, Sharing Set for 2 People (Mon-Fri),,,"6,000",,Approved,earth@hungryhub.com,01/04/2025,8:00:00 pm,3,Validated,,,,Check Later,,
,HH-LOTHI,thara_koiii,"95,611",Singapore,Instagram.com/thara_koiii,Hai Tien Lo at Pan Pacific Hotel Singapore,5457,Chinese,Party Pack,110,Hai Tien Lo l 5-Course Dinner Set,,,"1,686",,,fred@hungryhub.com,02/04/2025,6:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOJEG,jesszhengg,"13,331",Bangkok,,Siam Yacht Club Royal Orchid Sheraton Riverside,3862,"International, Italian, Japanese, Thai",Party Pack,2790,utdoor Romantic Set : 4 Dishes & 1 Bottle of Sparkling Wine (Advance 2 Days),,,"6,000",,Approved,ravi@hungryhub.com,06/04/2025,7:00:00 pm,,Validated,,,,Check Later,,
,HH-LOIMU,immikeyu,"319,003",Bangkok,,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,,,,,"25,000",,Approved,surasit@hungryhub.com,09/04/2025,7:30:00 pm,3,Validated,,,,Check Later,,
,HH-LOJEG,jesszhengg,"13,331",Bangkok,,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599,Hungry Hub Pack A - Select 1 Premium Menu,,,"6,000",,Approved,surasit@hungryhub.com,09/04/2025,7:30:00 pm,,Validated,,,,Check Later,,
,HH-INSTI,stefano_cicchini,"447,464",Bangkok,,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599,Hungry Hub Pack A - Select 1 Premium Menu,,,"8,781",,Approved,surasit@hungryhub.com,11/04/2025,12:00:00 pm,,Validated,,,,Check Later,,
,HH-INSTI,stefano_cicchini,"447,464",Bangkok,,The St. Regis Bar and The Drawing Room,2634,International,Party Pack,1200, 2 cocktails with 1 Dish x 3 packages (new menu),,,"8,781",,Approved,ravi@hungryhub.com,11/04/2025,6:00:00 pm,,Validated,,,,Check Later,,
,HH-LOJEG,jesszhengg,"13,331",Bangkok,,Nimitr Rooftop by 137 Pillars,2733,Thai,Party Pack,2590, 4 Dishes & 4 Mocktail and Cocktail OR 1 Bottle of Wine for 2 People,,,"6,000",,Approved,bond@hungryhub.com,12/04/2025,8:00:00 pm,,Validated,,,,Check Later,,
,HH-INSTI,stefano_cicchini,"447,464",Bangkok,instagram.com/test,Khao Wireless Road,2382,Thai,Party Pack,4490,Sharing Set for 3 People,,,"8,781",,Approved,bond@hungryhub.com,12/04/2025,1:00:00 pm,3,Validated,,,,Check Later,,
,HH-INSTI,stefano_cicchini,"447,464",Bangkok,,Myste,4747,Fusion,Party Pack,5990,Fine Dining 8 Courses,,,"8,781",,Approved,dew@hungryhub.com,13/04/2025,11:00:00 am,,Validated,,,,Check Later,,
,HH-INSTI,stefano_cicchini,"447,464",Bangkok,,Siam Yacht Club Royal Orchid Sheraton Riverside,3862,"International, Italian, Japanese, Thai",Party Pack,1990,The Bar: 3 Dishes & 8 Cocktails or 1 Bottle of Wine for 4 People,,,"8,781",,Approved,ravi@hungryhub.com,13/04/2025,6:30:00 pm,,Validated,,,,Check Later,,
,HH-INJKO,jkonthego,"38,900",Singapore,,Oh Ho Thai BBQ,#N/A,#N/A,Party Pack,34,Sharing Set for 2 People (Book 2 Hours in Advance),,,"1,671",FALSE,Approved,#N/A,16/04/2025,12:00:00 pm,2,Booked,,7398610,,Check Later,,
,HH-LOMAE,ma_vie_nomade,"4,663",Bangkok,,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599,Hungry Hub Pack A - Select 1 Premium Menu,,,0,,Approved,surasit@hungryhub.com,16/04/2025,7:30:00 pm,,Validated,,,,Check Later,,
,HH-INJKO,jkonthego,"38,900",Singapore,,Home Dusk: Live House,5648,"International, Italian, Japanese, Fusion, Korean, American",Party Pack,130,Sharing Set for 2 people,,,"1,671",FALSE,Approved,fred@hungryhub.com,17/04/2025,6:30:00 pm,2,Booked,,7398617,,Check Later,,
,HH-INTAZ,tachichosz,"70,870",Singapore,,Bone Apple Tea Bistro,5738,Fusion,Party Pack,69, Lunch Set for 2 people,,,"14,153",TRUE,Approved,fred@hungryhub.com,17/04/2025,4:00:00 pm,2,Booked,,7419684,27/05/2025,Check Later,,
,HH-LODID,diaryaroundtheworld,"512,171",Bangkok,,The Crystal Grill House at Asiatique The Riverfront,4992,Steakhouse,Party Pack,2990,Premium Outside Seating Sharing Set for 2 People,,,"7,000",,Approved,ravi@hungryhub.com,17/04/2025,7:00:00 pm,,Validated,,,,Check Later,,
,HH-LOJEG,jesszhengg,"13,331",Bangkok,,Saffron Contemporary Thai Signature Rooftop Banyan Tree Bangkok,2506,"Thai, Thai Isaan, Thai Southern, Thai Northern",Party Pack,1990, Choose 4 Dishes for 2 Persons [Premium menu],,,"6,000",,Approved,"ravi@hungryhub.com, naravadee.sw@banyantree.com,",17/04/2025,8:00:00 pm,,Validated,,,,Check Later,,
,HH-INTAZ,tachichosz,"70,870",Singapore,,Grand Konak Turkish and Lebanese Restaurant,5813,"Egyptian, Mediterranean, Lebanese, Turkish, Middle Eastern",Party Pack,199,Sharing Set for 2 people,,,"14,153",TRUE,Approved,fred@hungryhub.com,18/04/2025,11:30:00 am,2,Booked,,7421309,28/04/2025,Check Later,,
,HH-INTAZ,tachichosz,"70,870",Singapore,,Waterfall Lounge at Furama Riverfront Hotel,5643,"Chinese, European",Party Pack,50,Waterfall l Tea Bliss Set for 2 People,,,"14,153",TRUE,Approved,fred@hungryhub.com,18/04/2025,3:30:00 pm,2,Booked,,7422629,30/04/2025,Check Later,,
,HH-LODID,diaryaroundtheworld,"512,171",Bangkok,,Vertigo TOO Banyan Tree,712,"Fusion, International",Party Pack,3098, Romantic Set with 1 Bottle of Wine OR 4 Glasses of Cocktail for 2 People (Book 2 Days in Advance),,,"7,000",,Approved,"ravi@hungryhub.com, naravadee.sw@banyantree.com,",18/04/2025,7:00:00 pm,,Validated,,,,Check Later,,
,HH-LODID,diaryaroundtheworld,"512,171",Bangkok,,IGNIV Bangkok at The St.Regis Bangkok (One Michelin Star),5836,European,Party Pack,2707, Lunch Break 4 Course Set,,,"7,000",,Approved,ravi@hungryhub.com,18/04/2025,12:00:00 pm,,Validated,,,,Check Later,,
,HH-INTAZ,tachichosz,"70,870",Singapore,,Taksim Restaurant,5736,"Egyptian, Mediterranean, Lebanese, Middle Eastern",Party Pack,99,Sharing Set for 2 people,,,"14,153",TRUE,Approved,fred@hungryhub.com,19/04/2025,8:00:00 pm,2,Booked,,7419713,23/05/2025,Check Later,,
,HH-INTAZ,tachichosz,"70,870",Singapore,,Tea Lounge at Conrad Singapore Orchard,5597,International,All You Can Eat,76,Weekend High Tea Buffet,,,"14,153",TRUE,Approved,fred@hungryhub.com,19/04/2025,3:00:00 pm,2,Booked,,7424025,25/04/2025,Check Later,,
,HH-LODID,diaryaroundtheworld,"512,171",Bangkok,,Siam Yacht Club Royal Orchid Sheraton Riverside,3862,"International, Italian, Japanese, Thai",Party Pack,2790,Outdoor Romantic Set : 4 Dishes & 1 Bottle of Sparkling Wine (Advance 2 Days),,,"7,000",,Approved,ravi@hungryhub.com,19/04/2025,7:00:00 pm,,Validated,,,,Check Later,,
,HH-LOBAE,bangkok.vibe,"33,382",Bangkok,https://www.instagram.com/bangkok.vibe/,Great Harbour International Buffet,3005,"Chinese, European, Fusion, International, Japanese, Thai",All You Can Eat,1100,Great Harbour: Weekday Buffet (Monday- Friday),,,"10,125",,Approved,bond@hungryhub.com,22/04/2025,5:00:00 pm,2,Validated,,,,Check Later,,
,HH-INJKO,jkonthego,"38,900",Singapore,,Fook Kin 福劲,5376,"Chinese, Singaporean",Party Pack,76,Sharing Set for 2 People,,,"1,671",FALSE,Approved,fred@hungryhub.com,23/04/2025,11:30:00 am,2,Booked,,7398622,,Check Later,,
,HH-LOFOS,foodtravelexplores,"12,998",Phuket,,Takieng at Renaissance Resort & Spa (Phuket),1625,Thai,Party Pack,2890,Sharing Set for 3 People,,,"6,234",,Approved,bond@hungryhub.com,25/04/2025,12:30:00 pm,,Validated,,,,Check Later,,
,HH-LODID,diaryaroundtheworld,"512,171",Bangkok,,W Omakase Pradit Manutham,3818,Japanese,Party Pack,4666,Seasonal Omakase 21 Course,,,"7,000",,Approved,sirirat@hungryhub.com,28/04/2025,7:30:00 pm,,Validated,,,,Check Later,,
,HH-LOFOS,foodtravelexplores,"12,998",Bangkok,,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599,Hungry Hub Pack A - Select 1 Premium Menu,,,"6,234",,Approved,surasit@hungryhub.com,29/04/2025,7:30:00 pm,,Validated,,,,Check Later,,
,HH-LOBAY,bangkok.discovery,"199,227",Bangkok,Instagram.com/bangkok.discovery,About Beef Lava Grill,4751,"Japanese, Fusion, Thai",All You Can Eat,1159,Premium International Buffet (Only for Hungry Hub),,,"20,250",,Approved,dew@hungryhub.com,30/04/2025,5:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOSOY,sovifooddiary,"165,096",Bangkok,,The Seafood Cafe & Restaurant,1433,"Thai, Chinese, International, Fusion",Party Pack,1690,NEW: All You Can Eat with Premium Seafood Buffet + 1 Premium Jumbo River Prawn,,,"6,000",,Approved,sirirat@hungryhub.com,30/04/2025,11:30:00 am,,Validated,,,,Check Later,,
,HH-LOFOS,foodtravelexplores,"12,998",Bangkok,,Khao Wireless Road,2382,Thai,Party Pack,3880,Sharing Set for 2 People with 2 Alcohol Drink,,,"6,234",,Approved,bond@hungryhub.com,01/05/2025,6:30:00 pm,,Validated,,,,Check Later,,
,HH-LOSOY,sovifooddiary,"165,096",Bangkok,,Khao Jaan-Prod CentralWorld,4311,Thai,Party Pack,1450,Sharing Set for 2 People,,,"6,000",,Approved,bond@hungryhub.com,01/05/2025,11:30:00 am,,Validated,,,,Check Later,,
,HH-LOSOY,sovifooddiary,"165,096",Bangkok,,Sirimahannop Asiatique The Riverfront,1893,"Thai, International, Fusion, European",Party Pack,2190,Premium Sharing Set for 2 People,,,"6,000",,Approved,ravi@hungryhub.com,01/05/2025,5:30:00 pm,,Validated,,,,Check Later,,
,HH-LOMEX,megsandalex,"20,381",Bangkok,,Vertigo Rooftop Banyan Tree,280,"European, French, Fusion, International, Italian",Party Pack,6900,Romantic Dinner w/ 1 bottle of Wine (Book 2 days in advance),*Allergic to Seafood*,,"7,000",,Approved,"ravi@hungryhub.com, naravadee.sw@banyantree.com,",02/05/2025,6:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOSOY,sovifooddiary,"165,096",Bangkok,,Oishi Grand Siam Paragon,4039,"European, Fusion, International, Japanese",All You Can Eat,1119,Oishi Grand: Premium Buffet,,,"6,000",,Approved,bond@hungryhub.com,02/05/2025,11:30:00 am,,Validated,,,,Check Later,,
,HH-LOFOS,foodtravelexplores,"12,998",Bangkok,,Neta Grill Seacon Square Srinagarindra,915,Japanese,All You Can Eat,1662,"Neta Grill Premium Buffet (Discount 10%, 15%)",,,"6,234",,Approved,earth@hungryhub.com,03/05/2025,12:30:00 pm,,Validated,,,,Check Later,,
,HH-LOSOY,sovifooddiary,"165,096",Bangkok,,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599,Hungry Hub Pack A - Select 1 Premium Menu,,,"6,000",,Approved,surasit@hungryhub.com,03/05/2025,12:30:00 pm,,Validated,,,,Check Later,,
