,KOL_ID,Username,Price per post,Country,Restaurant Code,Restaurant Name,Cuisine Type,Social Media,Social media URL,Booking Date,Booking ID,Boost Code,Post Type,Post Date,Post URL,D+1,Views,Comments,Likes,D+5,Views (+5),Comments (+5),Likes (+5),D+10,Views (+10,Comments (+10),Likes (+10),growth rate,Conv Rate,CPM,Content,Hook (First 5 Seconds),Transcript,views (latest total)
,HH-INBIK,bigjohnjiak,"12,656",Bangkok,5149,NAMA Japanese and Seafood Buffet (Hungry Hub),Japanese,Instagram,Instagram.com/bigjohnjiak,,Paid,,Video,06/10/2025,https://www.instagram.com/p/DPeBf9lkwYF/,07/10/2025,"15,549",11,155,11/10/2025,"23,222",6,321,16/10/2025,"27,473",6,369,76.7%,1.36%,460.69,"NAMA JAPANESE AND SEAFOOD BUFFET
Must try Japanese premium buffet in Bangkok with almost 200 different items from sushi, sashimi, fresh seafood to grilled meats and many more.
Remember to make your reservation through the Hungry hub app.

📍24th floor Centara Grand and Bangkok Convention Centre, 999/99 Rama I Rd, Khwaeng Pathum Wan, Pathum Wan, Bangkok 10330, Thailand

@hungryhubofficial @hungryhub_th @nama__buffet
#buffet #japanesefood #sashimi #wagyu #bangkokfood #bangkok #whattoeat #foodreview #hojiakbo #hungryhub #foodvlogger #sginstagram #viral #fyp #bigjohnjiak & ",,,27473
,HH-INBRL,brenttimmtravel,,Bangkok,#N/A,Copper Beyond Buffet Gaysorn Amarin,#N/A,Instagram,Instagram.com/brenttimmtravel,,Paid,,Video,25/07/2025,https://www.instagram.com/p/DMhAg8itih2/,26/07/2025,"17,810",8,201,30/07/2025,"43,623",10,399,04/08/2025,"52,120",10,463,192.6%,0.91%,0.00,"Welcome to the BEST buffet in Thailand, and maybe the best on the planet. This is @copperbeyondbuffet , and I’m still dreaming about every sweet, savory, and succulent bite. It’s one of the most popular restaurants in Bangkok, and if you want to feast on 100+ delicious dishes, you need a reservation to avoid the long queue!

I booked mine through @hungryhub_th — the app that makes it so easy to discover and reserve the hottest and most unique restaurants in Thailand, while getting the best deals every time.

Which food looks the best to you?

#hungryhub #buffet #thailand #bangkok #travelfoodie",,,52120
,HH-INBRL,brenttimmtravel,,Bangkok,4889,Gentle Butcher by Bangkok Butcher,Steakhouse,Instagram,Instagram.com/brenttimmtravel,,Paid,,Video,14/08/2025,https://www.instagram.com/p/DNU1brwo6y9/,15/08/2025,"11,205",3,135,19/08/2025,,,,24/08/2025,"35,947",7,283,220.8%,0.81%,0.00,"It’s meat sweats Monday! This is the @gentle.butcher and they’re offering the most protein-packed buffet I’ve ever visited in my life. I’m pretty sure we tried every cut of steak known to man here, along with fish, shrimp, chicken, lamb and more. This restaurant is super popular, so make sure you use the @hungryhub_th app to book your table and find the best deals at Thailand’s most delicious restaurants. 

Which dish looked best? 

#hungryhub #thailand #meatsweats #bangkok #bangkokfoodie & ",,,35947
,HH-INBRL,brenttimmtravel,,Bangkok,#N/A,Copper Beyond Buffet Gaysorn Amarin,#N/A,Instagram,Instagram.com/brenttimmtravel,,,,Video,30/08/2025,https://www.instagram.com/p/DN_wnndDLkd/,31/08/2025,"13,796",7,156,04/09/2025,"23,638",5,200,09/09/2025,"33,510",7,229,142.9%,0.70%,0.00,"Date nights in Bangkok just hit different with roses, boats, and view of the incredible Icon Siam. My girlfriend and I celebrated out anniversary at @siamyachtclub and it was one of our most memorable nights in Thailand. We found an amazing deal on this four-course dinner with drinks using the @hungryhub_th app. This is our 3rd time using Hungry Hub in Bangkok, and it’s now our go-to app for finding the best restaurants all around the city. Download it before your next trip to Thailand and treat your partner to a night they’ll never forget!

🇹🇭 #thailand #bangkok #hungryhub #thaifoodstagram #iconsiam & ",,,33510
,HH-INBRL,brenttimmtravel,"10,000",Bangkok,4652,Jharokha by Indus,Indian,Instagram,Instagram.com/brenttimmtravel,,Paid,,Video,04/09/2025,https://www.instagram.com/p/DOLQDXJjLaQ/,05/09/2025,"14,697",5,116,09/09/2025,"17,538",6,133,14/09/2025,"32,591",6,187,121.8%,0.59%,306.83,"This is the best Indian food I’ve ever had in Thailand!

We were both craving Indian food, and found @jharokhabyindus through our favorite food app in Thailand – @hungryhub_th And SHEESH… this place blew us away! The flavors were out of this world——every dish packed with spice, depth, and soul . Combine that with the gorgeous setting and it’s easily one of the most memorable dining experiences we’ve had in Bangkok. Highly recommend if you’re craving authentic Indian cuisine with a touch of elegance. Download Hungry hub to find amazing restaurants like this all over Thailand! 

What’s the best naan? 
 
🇹🇭 #hungryhub #bangkok #indianfood #desifood #thailand & ",,,32591
,HH-INBRL,brenttimmtravel,"10,000",Bangkok,5349,Samosorn One Bangkok,Thai,Instagram,Instagram.com/brenttimmtravel,,Paid,,Video,15/09/2025,https://www.instagram.com/p/DOnv4PiDDlJ/,16/09/2025,"17,254",3,113,20/09/2025,"25,102",3,148,25/09/2025,"33,168",3,186,92.2%,0.57%,301.50,"For this week’s Thailand Date Night, we headed to @samosorn_restaurant and we were honestly blown away! Every dish was more than just food—it was art on a plate, with super colorful Thai-fusion flavors and mind-blowing presentation. The atmosphere was perfect for a special night out, and booking through @hungryhub_th got us an amazing discount. If you want to experience Bangkok’s most creative and vibrant Thai cuisine, this place is a must-try.

Do you like Thai food? 

🇹🇭 #hungryhub #thaifood #bangkok #visitthailand #bangkokeats & ",,,33168
,HH-INBRL,brenttimmtravel,"10,000",Bangkok,5349,Samosorn One Bangkok,Thai,Tiktok,Tiktok.com/@brenttimmtravel,,Paid,,Video,15/09/2025,https://www.tiktok.com/@brent.timm.travel/video/7550273909384334622,16/09/2025,"11,096",10,157,20/09/2025,"31,200",13,322,25/09/2025,"48,800",20,503,339.8%,1.07%,204.92,"For this week's Thai Date Night, we headed SAMOSORN ONE and we were honestly blown away! Every dish was more than just food—it was art on a plate, with super colorful Thai-fusion flavors and mind-blowing presentation. The atmosphere was perfect for a special night out, and booking through @HungryHub_Official got us an amazing discount. If you want to experience Bangkok’s most creative and vibrant Thai cuisine, this place is a must-try. #SamosornOne #hungryhub #thaifood #bangkok #visitthailand  & [""samosornone"",""hungryhub"",""thaifood"",""bangkok"",""visitthailand""]",,,48800
,HH-INBUW,bubufoodshow,,Bangkok,#N/A,Saneh Jaan Glasshouse Sindhorn Wireless road,#N/A,Instagram,Instagram.com/bubufoodshow,,Paid,,Video,25/06/2025,https://www.instagram.com/p/DLT7WYaxASv/,01/07/2025,"6,504",1,530,30/06/2025,,,,05/07/2025,"6,583",1,533,1.2%,8.11%,0.00,,"changing scenes according to beat (no VO, AI nor text)",,6583
,HH-INBUW,bubufoodshow,,Bangkok,280,Vertigo Rooftop Banyan Tree,International,Instagram,Instagram.com/bubufoodshow,,Paid,,Video,27/06/2025,https://www.instagram.com/p/DLZjL5lRJj1/,01/07/2025,"3,541",1,,02/07/2025,"3,577",1,-1,14/07/2025,"8,976",1,-1,153.5%,0.00%,0.00,,"changing scenes according to beat (no VO, AI nor text)",,8976
,HH-INBUW,bubufoodshow,,Bangkok,5836,IGNIV Bangkok at The St.Regis Bangkok (One Michelin Star),European,Instagram,Instagram.com/bubufoodshow,,Paid,,Video,28/06/2025,https://www.instagram.com/p/DLbcObyxqT6/,01/07/2025,"6,951",4,0,03/07/2025,"7,086",5,-1,08/07/2025,"7,242",5,-1,4.2%,0.06%,0.00,,"changing scenes according to beat (no VO, AI nor text)",,7242
,HH-INCA9,candychi99,,Bangkok,2482,Saffron Sky Garden Rooftop Banyan Tree Bangkok,Thailand ,Instagram,Instagram.com/candychi99,,Paid,,Video,29/08/2024,https://www.instagram.com/p/C_P-LyAyQGA/,01/07/2025,"18,190",139,-1,03/09/2024,,,,14/07/2025,"18,209",139,-1,0.1%,0.76%,0.00,,"Bangkok Rooftop Bar @location, $XXX (text only)",,18209
,HH-INCAW,carmen_wqw,"6,355",Bangkok,3862,Siam Yacht Club Royal Orchid Sheraton Riverside,International,Instagram,,,Paid,,Video,28/04/2025,https://www.instagram.com/p/DI_DJGrvZR9/,29/04/2025,,,,03/05/2025,,,,10/10/2025,"33,395",1,787,,2.36%,190.30,,,,33395
,HH-INCHH,chai_shin_yih,"2,754",Bangkok,3862,Siam Yacht Club Royal Orchid Sheraton Riverside,International,Instagram,,,Paid,,Video,04/04/2025,https://www.instagram.com/p/DIBt5d0zT05/,05/04/2025,,,,09/04/2025,,,,10/10/2025,"15,438",96,183,,1.81%,178.39,"[BANGKOK 🇹🇭] @siamyachtclub Siam Yacht Club – One of the most beautiful riverside restaurants in BANGKOK! 🌊🍷✨ 

An evening at Siam Yacht Club at Royal Orchid Sheraton Hotel located along Chao Phraya river is pure magic! 💫 With the ICONSIAM skyline twinkling across the river, we indulged in an exclusive dining package via @hungryhub_th - The Bar Package: 3 dishes + 8 cocktails OR 1 bottle of wine for 4 people at just ฿1,990! 🍷🍹 

What makes this experience special? HungryHub's exclusive packages unlock premium dining at unbeatable value, giving access to seamless reservation experience. 

As wine lovers, we had to go for the bottle of wine🥂, the perfect pairing for this dreamy riverside dinner. Plus, with live performances from Thursday to Sunday, the ambiance is on another level! 🎶✨ 

Here's what we enjoyed: 
🍤 Piri-Piri White Prawns – Juicy prawns with feta, wild rocket, and a spicy kick from chili oil & lemon. 
🍝 Green Curry Linguine with Wild Salmon – A bold fusion of green curry cream, ikura, anchovies Colatura, and green peas – bursting with flavor! 
🔥 Tom Yum Seafood Black Rigatoni – White prawns, baby squid, and salted cod roe tossed in a tom yum-infused foam sauce. 

For unmatched views, gourmet flavors, and exclusive perks, this is the spot! 🍷🌊 
Book on HungryHub and elevate your dining experience. 

#Hungryhub #SiamYachtClub #BangkokEats #ExclusiveDining #BangkokFoodie",Hungryhub SiamYachtClub BangkokEats ExclusiveDining BangkokFoodie,,15438
,HH-INCHTSAA,christianandakita,"2,275",Bangkok,4503,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),International,Instagram,,,Paid,,Video,31/10/2025,https://www.instagram.com/p/DQdbvEqEU68/,01/11/2025,"5,526",4,57,05/11/2025,"19,329",9,259,10/11/2025,"27,349",12,377,394.9%,1.42%,83.18,"Must-Visit All-You-Can-Eat Buffet in Bangkok! 🇹🇭

Today, we had the pleasure of dining at one of the highest-rated buffets in Thailand, and it truly exceeded our expectations! The buffet featured an impressive array of self-serve stations, along with a dedicated section where you could order over 80 à la carte items, all beautifully presented in fine dining style.

We booked our experience through @hungryhub_th ensuring we got the best deal possible, along with exclusive menu items! 

If you’re in Bangkok and looking for a culinary adventure, this buffet is a must-visit. Indulge in a feast that marries variety with gourmet flair, and savor every moment of your dining experience!
-
-
-
-
#foryou #fyp #foryoupage #fy #fypシ #hungryhub #bangkok🇹🇭 #thailandfood #thailandtravel & ",,,27349
,HH-INCHTSAA,christianandakitaeats,"2,275",Bangkok,4503,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),International,Tiktok,https://tiktok.com/@christianandakitaeats,,Paid,,video,31/10/2025,https://www.tiktok.com/@christianandakitaeats/video/7567238129858415879,01/11/2025,"1,342",1,43,05/11/2025,"4,039",1,96,10/11/2025,"6,816",2,150,407.9%,2.23%,333.77,"Must-Visit All-You-Can-Eat Buffet in Bangkok! 🇹🇭 Today, we had the pleasure of dining at one of the highest-rated buffets in Thailand, and it truly exceeded our expectations! The buffet featured an impressive array of self-serve stations, along with a dedicated section where you could order over 80 à la carte items, all beautifully presented in fine dining style. We booked our experience through @HungryHub_Official ensuring we got the best deal possible, along with exclusive menu items!  If you’re in Bangkok and looking for a culinary adventure, this buffet is a must-visit. Indulge in a feast that marries variety with gourmet flair, and savor every moment of your dining experience! - - - - #fyp #foryoupage #thailand🇹🇭 #hungryhub  & [null,""fyp"",""foryoupage"",""thailand🇹🇭"",""hungryhub""]",,,6816
,HH-INCHTSAA,christianandakitaeats,"2,275",Bangkok,5149,NAMA Japanese and Seafood Buffet (Hungry Hub),Japanese,Tiktok,https://tiktok.com/@christianandakitaeats,,Paid,,video,04/11/2025,https://www.tiktok.com/@christianandakitaeats/video/7568815515422969095,05/11/2025,"1,460",0,48,09/11/2025,"3,865",2,101,14/11/2025,"5,530",2,132,278.8%,2.42%,411.39,"Best Japanese Buffet in Thailand! 🇹🇭  We visited the best seafood Japanese buffet in Bangkok! If you love seafood and sushi this is a must visit spot and make sure you book through @HungryHub_Official  - - - - #foryou #fyp #fy #foryoupage #hungryhub  & [null,""foryou"",""fyp"",""fy"",""foryoupage"",""hungryhub""]",,,5530
,HH-INCHTSAA,christianandakitaeats,"4,550",Bangkok,1594,Flavors at Renaissance Bangkok,International,Tiktok,https://tiktok.com/@christianandakitaeats,,Paid,,video,16/11/2025,https://www.tiktok.com/@christianandakitaeats/video/7573236343678176530,17/11/2025,"8,408",4,198,21/11/2025,"8,769",4,208,26/11/2025,,,,-100.0%,#DIV/0!,#DIV/0!,"Buffets in Bangkok are amazing! 🤩  #foryou #fyp #foryoupage #hungryhub  & [""foryou"",""fyp"",""foryoupage"",""hungryhub""]",,,
,HH-INDIY,dilanthony,,Bangkok,712,Vertigo TOO Banyan Tree,International,Instagram,Instagram.com/dilanthony,,Paid,,Video,01/08/2024,https://www.instagram.com/p/C-ITWVQPKUs/,01/07/2025,"793,890",136,30271,06/08/2024,,,,14/07/2025,"793,985",136,30256,0.0%,3.83%,0.00,,There's this really nice rooftop spot that I want to take you to... conversation with someone (VO and text) ,,793985
,HH-INDRM,drelias_tam,,Bangkok,837,Copper Beyond Buffet The Sense Pinklao (Hungry Hub),International ,Instagram,Instagram.com/drelias_tam,,Paid,,Video,14/08/2024,https://www.instagram.com/p/C-pROhOyD1M/,01/07/2025,"166,198",40,2090,19/08/2024,,,,14/07/2025,"166,281",40,2090,0.0%,1.28%,0.00,,"XX and XXX at a buffet in XXX (text only)

OMG. There is XXXX in this Buffet?? (VO and text)",,166281
,HH-INFOX,foodtreasurebox,,Bangkok,837,Copper Beyond Buffet The Sense Pinklao (Hungry Hub),International ,Instagram,Instagram.com/foodtreasurebox,,Paid,,Video,04/09/2024,https://www.instagram.com/p/C_fpQxsSAsf/,01/07/2025,"118,581",8,1615,09/09/2024,,,,14/07/2025,"118,703",8,1617,0.1%,1.37%,0.00,,"The Best XXX Buffet (text only)

I can't believe I just had caviar at a buffet (VO and text)",,118703
,HH-INGIM,giadinhcamcam,,Bangkok,5711,Apsara Cruise by Banyan Tree,Thai,Tiktok,Tiktok.com/@giadinhcamcam,,Paid,,Video,19/07/2025,https://www.tiktok.com/@giadinhcamcam/video/7530268593448340744,20/07/2025,"1,949",1,96,24/07/2025,,,,29/07/2025,"19,200",6,319,885.1%,1.69%,0.00,Series đi Thái và những điều chưa thử: Trải nghiệm kiểu “fine-dining” trên sông giữa lòng Bangkok @HungryHub_Official #giadinhcamcam #HungryHub #thailand #foodtiktok ,,,19200
,HH-INGIM,giadinhcamcam,,Bangkok,#N/A,Copper Beyond Buffet Gaysorn Amarin,#N/A,Tiktok,Tiktok.com/@giadinhcamcam,,Paid,,Video,26/07/2025,https://www.tiktok.com/@giadinhcamcam/video/7531243629118082322,27/07/2025,"21,477",5,889,31/07/2025,,,,05/08/2025,"64,800",17,1862,201.7%,2.90%,0.00,"Series đi Thái và những điều chưa thử p.2: Buffet cao cấp với đầu bếp Michelin ngay trung tâm Bangkok mà có giá hợp lý có thể bạn chưa biết #giadinhcamcam #fyp @HungryHub_Official #HungryHub & [""giadinhcamcam"",""fyp"",""hungryhub""]",,,64800
,HH-INGIM,giadinhcamcam,,Bangkok,5149,NAMA Japanese and Seafood Buffet (Hungry Hub),Japanese,Tiktok,Tiktok.com/@giadinhcamcam,,Paid,,Video,03/08/2025,https://www.tiktok.com/@giadinhcamcam/video/7534347870984572168,04/08/2025,"6,815",3,205,08/08/2025,,,,13/08/2025,"30,900",6,704,353.4%,2.30%,0.00,"Series đi Thái và những điều chưa thử p.4: Buffet hải sản Nhật cao cấp ngay CentralWorld mà bọn mình mới tìm được... @HungryHub_Official #giadinhcamcam #foodtiktok #thailand🇹🇭 #HungryHub & [""giadinhcamcam"",""foodtiktok"",""thailand🇹🇭"",""hungryhub""]",,,30900
,HH-INGON,gocmengen,0,Bangkok,4503,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),International,Instagram,Instagram.com/gocmengen,,Paid,,Video,15/09/2025,https://www.instagram.com/p/DOnsRjljfK4/,16/09/2025,"5,654",5,59,20/09/2025,"7,534",5,65,25/09/2025,"13,285",7,84,135.0%,0.68%,0.00,"Konum için kaydedin❣️

[TR] Tayland’da en özel restoranlarda sıra beklemeden yerinizi ayırtmaya ne dersiniz?
Üstelik özel menülere, özel fiyatlarla ulaşma imkanı da var! Ben Copper Beyond Buffet’te Hungry Hub sayesinde hem en iyi fiyatı yakaladım hem de hiç sıra beklemeden direkt masama geçtim🦞

Kişi başı 2.600 Baht’a, 2 saat boyunca sınırsız açık büfe keyfi için rezervasyonunuzu @hungryhub_th üzerinden yapabilirsiniz. Bangkok’a geliyorsanız listenizin başına mutlaka ekleyin!🇹🇭

[EN] How about reserving a table at Thailand’s most exclusive restaurants without waiting in line? ✨
Plus, you get access to special menus at special prices! I experienced Copper Beyond Buffet with Hungry Hub and got the best deal — and the best part, I skipped the line and went straight to my table 🦞

For just 2,600 Baht per person, you can enjoy a 2-hour all-you-can-eat buffet. Simply book your spot through @hungryhub_th If you’re coming to Bangkok, this should definitely be on your list! 🇹🇭

Reklam #işbirliği #collab #thailand #bangkok #dining #copperbeyondbuffet #hungryhub #travel & ",,,13285
,HH-INGOS,goofytwocooks,"2,072",Bangkok,4039,Oishi Grand Siam Paragon,Japanese,Instagram,Instagram.com/goofytwocooks,,Paid,,Video,21/06/2025,https://www.instagram.com/p/DLKb_7jzYaQ/,22/06/2025,"42,502",64,,26/06/2025,,,,01/07/2025,"42,502",64,,0.0%,0.15%,48.75,"All-You-Can-Eat 🎌🍣Craving quality Japanese cuisine in the heart of Bangkok? Head to Oishi Grand at Siam Paragon for a premium buffet experience. From melt-in-your-mouth sashimi and handcrafted sushi to sizzling grilled meats and crispy tempura, every dish is a celebration of authentic flavors and finesse. 🍣🔥

🌟 Pro tip: Book through the Hungry Hub App to unlock exclusive discounts, enjoy special set menus, and rack up Hungry Points (1 point = 1 Baht!). It’s the smartest way to dine in style and save while you’re at it.

#OishiGrand #SiamParagonEats #JapaneseBuffet #BangkokFoodie #HungryHubDeals #AllYouCanEatDelight 🍱",,,42502
