,restaurant name,UMAP Component 1 (Semantic Similarity Axis),UMAP Component 2 (Theme Variation Axis),cluster,Primary Theme,Number of Posts,Primary Theme %,All Themes
118,Bangrak Grill at Grande Centre Point Surawong,2.1559443,5.4944587,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
119,Banh Bistro @Ramada Plaza Sukhumvit 48,-0.3622995,7.6297283,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
120,Bann Rommai Mookata,1.9553081,9.766298,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
121,Banthat Thong Roast Duck,4.423236,14.931446,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
122,Bar Archive,-2.9901521,12.666661,3,Good Location,1,100.0,Good Location
123,Bar Yang,-2.3161995,12.564098,3,Good Location,1,100.0,Good Location
124,Bar.Yard at Kimpton Maa-Lai Bangkok,-3.1946568,11.388319,3,Good Location,1,100.0,Good Location
125,Barracuda Rooftop Bar Akara Hotel Bangkok,-2.7549102,9.03952,3,Good Location,1,100.0,Good Location
126,Bay Beach Resort Jomtien Pattaya Staycation (Pattaya),-3.4462047,5.96598,1,Restaurant with Good View,1,100.0,Restaurant with Good View
127,Bayan Seaside Terrace at Baan Bayan Beachfront Hotel (Hua Hin),-2.5740747,2.6714294,1,Restaurant with Good View,1,100.0,Restaurant with Good View
128,Beach Bar at Ibis Samui Bophut (Samui),-2.5033796,5.0689883,3,Good Location,1,100.0,Good Location
129,Beach Kitchen by Avalon Beach Resort Pattaya (Pattaya),-3.6547377,5.6793623,1,Restaurant with Good View,1,100.0,Restaurant with Good View
130,Beach Road Kitchen at JW Marriott Singapore South Beach,-2.5411987,5.1501603,1,Restaurant with Good View,1,100.0,Restaurant with Good View
131,Beach Walk Cafe Bangsaen (Chonburi),-2.4208379,5.496007,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
132,Beauty in The Pot,1.5774037,8.850139,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
133,Beef Express Muangthong Nonthaburi,5.946699,10.5829,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
134,Beef Express Yothinpattana 3,5.991967,10.318739,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
135,Beer Collection,4.834102,10.80192,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
136,Beer Pradith,3.5954685,14.498153,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
137,Begin Again,2.4091067,14.630706,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
138,Behind Bars,5.967725,8.318538,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
139,Benihana JW Marriott (Phuket),-0.07741695,4.58724,1,Restaurant with Good View,1,100.0,Restaurant with Good View
140,Benihana at Avani Resort (Pattaya),-2.7203093,6.1723886,1,Restaurant with Good View,1,100.0,Restaurant with Good View
141,Best Western Plus Nexen Staycation (Pattaya),-4.4492264,5.948761,1,Restaurant with Good View,1,100.0,Restaurant with Good View
142,Big Bite Burger BKK,1.5701964,6.0441284,3,Good Location,1,100.0,Good Location
143,Big Fish Siam At Siam (Pattaya),9.730588,3.8070645,1,Restaurant with Good View,1,100.0,Restaurant with Good View
144,Bigbeef Premium Halal Buffet,9.014016,8.267778,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
145,Bikuta Sushi & Teppan (Chonburi),3.505327,3.5777316,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
146,Bikuta Sushi & Teppan Rama 2,4.880424,3.3406208,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
147,Biscay at Best Western Plus Carapace Hotel (Hua Hin),-1.7048501,2.4657516,1,Restaurant with Good View,1,100.0,Restaurant with Good View
148,Bistro M - Marriott Sukhumvit 101,-0.3230644,7.345707,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
149,Bistro M - Marriott Sukhumvit 50,-0.26025364,7.4245167,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
150,Bite Restaurant & Gallery (Phuket),0.36651352,4.9834046,1,Restaurant with Good View,1,100.0,Restaurant with Good View
151,Bittersweet Mövenpick BDMS Wellness Resort,-1.7084695,6.7243466,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
152,Black Cherry,5.6820416,11.370017,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
153,Blackheath Bistro,0.46749404,7.328271,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
154,Blackyard Roast & Brew,5.614159,10.819617,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
155,Blue Elephant Sathorn,2.561487,13.101697,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
156,Blue Elephant Sukhumvit,-1.3953443,8.373232,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
157,Blue Sky Rooftop Bar Centara Grand at Central Plaza Ladprao,-3.1407583,9.294796,3,Good Location,1,100.0,Good Location
158,BlueSpice Grande Centre Point Sukhumvit 55,-1.436147,8.654036,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
159,Blueraybar Rooftop,-3.4935255,9.085534,3,Good Location,1,100.0,Good Location
160,Boat Seafood (Phuket),0.5736034,4.651836,1,Restaurant with Good View,1,100.0,Restaurant with Good View
161,Bodegas Wine,-0.43272346,10.067017,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
162,Bodhi Terrace at Anantara Chiang Mai Resort,-1.50652,6.6101384,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
163,Bombay 2 Beirut,4.8007274,8.510061,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
164,Bond Street Bar Café,-1.0255169,12.228232,3,Good Location,1,100.0,Good Location
165,Bone Apple Tea Bistro,0.43426675,7.739555,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
166,Bonus shabu,8.066935,5.2294865,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
167,Boon Tong Kee Central Eastville,4.227746,6.3288307,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
168,Boon Tong Kee Central Pinklao,4.129694,5.496639,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
169,Boon Tong Kee Central Rama 2,5.2637568,4.2307687,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
170,Boon Tong Kee Central Rayong (Rayong),4.303716,5.8713145,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
171,Boon Tong Kee Central Westgate,3.8128448,5.7584586,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
172,Boon Tong Kee Future Park Rangsit,2.330773,7.8894024,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
173,Boon Tong Kee PTT Borommaratchachonnani 97,4.3919516,11.773338,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
174,Boon Tong Kee PTT Vibhavadi 62,3.1722653,8.595732,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
175,Boon Tong Kee Robinson Ratchaphruek,5.5388117,13.403204,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
176,Boon Tong Kee Seacon Square,3.716148,8.339578,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
177,Boon Tong Kee Sukhumvit 49,-1.4008157,8.229517,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
178,Boon Tong Kee Terminal 21 Rama 3,6.188382,2.9095297,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
179,Boon Tong Kee The Crystal Park,2.261844,7.639709,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
180,Boon Tong Kee The Mall Bangkapi,5.8842874,11.031957,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
181,Boon Tong Kee The Up Rama 3,6.2851377,3.17584,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
182,Booster's Bar,-1.2273091,12.41186,3,Good Location,1,100.0,Good Location
183,Botanic Backyard Bar & Restaurant,-1.7333275,11.617208,3,Good Location,1,100.0,Good Location
184,Bottega del Gusto,5.584932,7.9977546,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
185,Bottle Rockets,2.3133838,13.03976,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
186,Bounce Burger,2.886476,9.469942,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
187,Brewave Kanchanapisek,5.4417067,12.9399605,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
188,Brewave Pinklao,4.8053713,12.86896,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
189,Brewave Ratchada,2.7335188,14.024333,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
190,Brewski Rooftop Sports Bar Radisson Blu Plaza Bangkok (Indoor),-2.774686,9.5405035,3,Good Location,1,100.0,Good Location
191,Bricks and Barrels (Pattaya),-4.748048,7.380721,1,Restaurant with Good View,1,100.0,Restaurant with Good View
192,Bright Side Brunch Bar,-2.6182227,12.523372,3,Good Location,1,100.0,Good Location
193,Bro Smoke,3.4015293,9.675331,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
194,Bro's Grill & Beer,2.6866152,6.19913,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
195,Broccoli Revolution Sukhumvit 49,-1.569286,8.455661,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
196,Brown Burgundy,-1.4580954,14.563142,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
197,Bu Lan Dun Mek,4.992631,13.05463,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
198,Bua Terrace (Rayong),3.0658128,12.197401,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
199,Buenos Mexican Restaurant (Pattaya),-4.5755553,6.5187626,1,Restaurant with Good View,1,100.0,Restaurant with Good View
200,Bull Market Noodle Bar,-1.9507768,12.2055645,3,Good Location,1,100.0,Good Location
201,Buonissimo Italian Restaurant & Pizzeria,3.3182683,12.382212,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
202,Burbrit Craft Beer Phra Khanong,0.7545617,9.212675,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
203,Burbrit Craft Beer Sukhumvit 22,-1.6870763,8.363031,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
204,Butter Steak Bistro,8.155018,10.341225,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
205,By The Pool Restaurant & Pool Bar,-1.2461138,12.234811,3,Good Location,1,100.0,Good Location
206,"CALI, Novotel Singapore on Kitchener",0.04186932,12.715483,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
207,CHANAN Japanese Cuisine (Samut Sakhon),0.9082188,11.30179,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
208,CHOB Craft Beef & Beer,6.7113724,10.498219,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
209,CLAWS & CO - Anantara Mai Khao Phuket Villas (Phuket),0.3064723,4.532384,1,Restaurant with Good View,1,100.0,Restaurant with Good View
210,COAL Bake&Grill,2.1692047,5.7052984,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
211,COCOA XO Bar at Red Sky 57th Floor,-3.1490047,11.945022,3,Good Location,1,100.0,Good Location
212,COMMU Rooftop Cafe,-3.632902,9.461478,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
213,CROW Craft & Cuisine,0.41876495,10.5483,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
214,CUTTS Sathorn Omakase,2.5982542,1.1926471,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
215,Caesa Delicious Bang Bon 3,7.4252887,11.235103,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
216,Cafe Chef WAN KL East Mall,0.7371425,15.536917,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
217,Cafe Chilli One Bangkok,0.85340345,16.874033,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
218,Cafe Chilli QSNCC,1.2569482,16.560234,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
219,Cafe Claire by Oriental Residence,0.17444098,16.185583,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
220,Cafe OSG - Zichar Tea Room + Wine Bar,-0.7271025,11.3267145,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
221,Cafe de Salil La Petite Salil Sukhumvit Thonglor 1,-0.9373809,8.077622,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
222,Cafe22 by Courtyard by Marriott North Pattaya (Pattaya),-4.8541627,6.6371083,1,Restaurant with Good View,1,100.0,Restaurant with Good View
223,CafeSlash,1.2839227,15.749758,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
224,Calm Kraam,4.9552507,13.422916,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
225,Camin Cuisine & Cafe Central Rama 9,5.3638415,4.5946493,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
226,Camin Cuisine & Cafe Seacon Square Srinagarindra,0.04969715,11.321522,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
227,Canale House,2.9180286,17.201508,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
228,Cantina Wine Bar & Italian Kitchen,-0.46233484,9.439026,3,Good Location,1,100.0,Good Location
