restaurant name,UMAP Component 1 (Semantic Similarity Axis),UMAP Component 2 (Theme Variation Axis),cluster,Primary Theme,Number of Posts,Primary Theme %,All Themes,restaurant_id,name,days_in_advance
Ang Sila Bangna Seafood,8.738258,12.288635,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4925,Ang Sila Bangna Seafood,90
Angel Shabu Mala Bearing 17,8.084384,5.8974266,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,6275,Angel Shabu Mala Bearing 17,90
Annyeong Grill 안녕 그릴  Ozone One – Songprapha,2.0571914,6.051448,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6544,Annyeong Grill 안녕 그릴  Ozone One – Songprapha,90
Annyeong Grill 안녕 그릴 Railway Station (Chiangmai),4.4967747,8.826199,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6543,Annyeong Grill 안녕 그릴 Railway Station (Chiangmai),90
Annyeong Grill 안녕 그릴 San Phi Suea (Chiangmai),2.0089006,6.2107005,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6542,Annyeong Grill 안녕 그릴 San Phi Suea (Chiangmai),90
Another Round,3.0485651,14.255023,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3676,Another Round,90
Anya Authentic Thai Cuisine,0.7809894,10.506015,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,2739,Anya Authentic Thai Cuisine,30
Anya's Place,4.2867217,10.009297,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6486,Anya's Place,90
Ao Talay Theprak Saphan Mai,4.647269,11.386541,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6246,Ao Talay Theprak Saphan Mai,90
Aqua Bar & Grill Springfield at Sea Resort & Spa (Hua Hin),-2.5339973,3.4219887,1,Restaurant with Good View,1,100.0,Restaurant with Good View,4165,Aqua Bar & Grill Springfield at Sea Resort & Spa (Hua Hin),90
Aquario Rooftop Pool Bar & Restaurant The Sanctuary Resort (Pattaya),-3.2484338,7.182006,1,Restaurant with Good View,1,100.0,Restaurant with Good View,4137,Aquario Rooftop Pool Bar & Restaurant The Sanctuary Resort (Pattaya),90
Ar Tee Mala Shabu Ping Yang,7.897446,5.3468127,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,6161,Ar Tee Mala Shabu Ping Yang,90
Area Five Café and Eatery,1.705946,13.778158,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3757,Area Five Café and Eatery,90
Areeya Mookrata Chula-Banthat Thong,5.2174106,9.906698,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6089,Areeya Mookrata Chula-Banthat Thong,90
Areeya Mookrata New Petchaburi,2.7431118,11.818052,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6088,Areeya Mookrata New Petchaburi,90
Areeya Mookrata Pradiphat,4.6470957,15.480195,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6086,Areeya Mookrata Pradiphat,90
Arno's Naradhiwas Rajanagarindra Soi 20,4.4205446,10.844655,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3712,Arno's Naradhiwas Rajanagarindra Soi 20,90
Arno's The Circle Ratchapruek,4.749908,11.165525,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3581,Arno's The Circle Ratchapruek,90
Assembly Point Thonglor @ One One Hotel Bkk,-2.3893082,10.953434,3,Good Location,1,100.0,Good Location,1157,Assembly Point Thonglor @ One One Hotel Bkk,90
Astro Ekkamai,6.396392,9.439346,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6443,Astro Ekkamai,90
At-Ta-Rote,4.5209575,12.951968,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5023,At-Ta-Rote,90
Atmos On Top Silom,3.787437,15.49174,3,Good Location,1,100.0,Good Location,6895,Atmos On Top Silom,90
Audrey Cafe Central Ladprao,5.4753613,6.954585,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,426,Audrey Cafe Central Ladprao,90
Audrey Cafe Thonglor Soi 11,0.28348303,16.428204,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options,33,Audrey Cafe Thonglor Soi 11,90
Audrey Restaurant - A Chatrium Collection (Khao Yai),2.628867,11.251105,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4200,Audrey Restaurant - A Chatrium Collection (Khao Yai),90
Aufu Bar,-2.7614913,12.4094,3,Good Location,1,100.0,Good Location,6129,Aufu Bar,90
Aunidin,5.523402,8.219431,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6118,Aunidin,90
Avalon Cafe & Restaurant (Phitsanulok),1.8866112,15.473388,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options,3688,Avalon Cafe & Restaurant (Phitsanulok),90
Axis & Spin Sky Lounge & Bar Rooftop at The Continent Boutique Hotel,-2.0707443,9.654599,3,Good Location,1,100.0,Good Location,3646,Axis & Spin Sky Lounge & Bar Rooftop at The Continent Boutique Hotel,90
Ayutthaya Retreat (Ayutthaya),2.2542388,15.497094,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options,6192,Ayutthaya Retreat (Ayutthaya),90
B.Burnt Bistro Central Si Racha (Chon Buri),0.9411362,7.0839205,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,6335,B.Burnt Bistro Central Si Racha (Chon Buri),90
BAY beach bar & cafe,-2.3694444,6.2154784,3,Good Location,1,100.0,Good Location,4842,BAY beach bar & cafe,90
BEACHSIDE BAR  บีชไซด์ บาร์ @ MASON,-1.8025805,10.970429,3,Good Location,1,100.0,Good Location,4049,BEACHSIDE BAR  บีชไซด์ บาร์ @ MASON,90
BNP Cuisine,1.2130603,10.24351,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3270,BNP Cuisine,90
BUCKS CAFE,0.33992493,15.834746,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options,6193,BUCKS CAFE,90
Baan Borneo Club by 137 Pillars,-2.2738967,14.656663,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4766,Baan Borneo Club by 137 Pillars,90
Baan Daeng by Methavalai Sorndaeng,5.970904,13.438254,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,2982,Baan Daeng by Methavalai Sorndaeng,30
Baan Dalaa by Angkana,2.3575757,12.367174,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4778,Baan Dalaa by Angkana,90
Baan Itsara (Huahin),5.3281655,13.3063965,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5919,Baan Itsara (Huahin),90
Baan Khanitha Thai Cuisine Sukhumvit 23,0.33695218,10.012634,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4840,Baan Khanitha Thai Cuisine Sukhumvit 23,90
Baan Khanitha and Gallery Sathorn,1.7144854,10.762571,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,1722,Baan Khanitha and Gallery Sathorn,240
Baan Moo Hun,3.0677967,10.908666,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6350,Baan Moo Hun,90
Baan Nhuer Nham,5.214332,14.851968,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5039,Baan Nhuer Nham,90
Baan Nuea Yaang,5.593388,14.844965,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6678,Baan Nuea Yaang,90
Baan Suan Rim Khlong Maha Sawat,2.614979,14.762231,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6292,Baan Suan Rim Khlong Maha Sawat,90
Baan Suriyasai @ Surawongse,1.4958276,11.250458,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5979,Baan Suriyasai @ Surawongse,90
Baantye,2.531731,10.785141,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6447,Baantye,90
Baba Beach Restaurant at Baba Beach Club (Hua Hin),-2.317826,4.087845,1,Restaurant with Good View,1,100.0,Restaurant with Good View,2845,Baba Beach Restaurant at Baba Beach Club (Hua Hin),90
Baba Hot Box at Sri Panwa (Phuket),0.5970852,5.058045,1,Restaurant with Good View,1,100.0,Restaurant with Good View,3829,Baba Hot Box at Sri Panwa (Phuket),90
Baba IKI at Sri Panwa (Phuket),0.1617559,5.129876,1,Restaurant with Good View,1,100.0,Restaurant with Good View,2870,Baba IKI at Sri Panwa (Phuket),90
Baba Poolclub at Sri Panwa (Phuket),0.20928687,4.7386837,1,Restaurant with Good View,1,100.0,Restaurant with Good View,2110,Baba Poolclub at Sri Panwa (Phuket),30
Badasga Beach Club (Chonburi),-2.426328,4.769096,1,Restaurant with Good View,1,100.0,Restaurant with Good View,5452,Badasga Beach Club (Chonburi),90
Bai Som farm&cafe,0.66204673,16.889866,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options,6433,Bai Som farm&cafe,90
Baia Rooftop Dining Lounge Bar,-2.5017288,10.175001,3,Good Location,1,100.0,Good Location,5647,Baia Rooftop Dining Lounge Bar,90
Bake The Story (Phuket),0.13663006,3.9208682,1,Restaurant with Good View,1,100.0,Restaurant with Good View,3121,Bake The Story (Phuket),90
Ballad Riverside Rooftop Bar & Restaurant,-2.9385934,9.503071,3,Good Location,1,100.0,Good Location,5701,Ballad Riverside Rooftop Bar & Restaurant,90
Bangkok Trading Post Bistro & Bar by 137 Pillars,0.12973842,8.126746,3,Good Location,1,100.0,Good Location,2735,Bangkok Trading Post Bistro & Bar by 137 Pillars,90
Bangrak Grill at Grande Centre Point Surawong,2.1559443,5.4944587,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4335,Bangrak Grill at Grande Centre Point Surawong,90
Banh Bistro @Ramada Plaza Sukhumvit 48,-0.3622995,7.6297283,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3055,Banh Bistro @Ramada Plaza Sukhumvit 48,90
Banthat Thong Roast Duck,4.423236,14.931446,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4534,Banthat Thong Roast Duck,90
Bar Archive,-2.9901521,12.666661,3,Good Location,1,100.0,Good Location,4783,Bar Archive,90
Bar Yang,-2.3161995,12.564098,3,Good Location,1,100.0,Good Location,4839,Bar Yang,90
Bar.Yard at Kimpton Maa-Lai Bangkok,-3.1946568,11.388319,3,Good Location,1,100.0,Good Location,5935,Bar.Yard at Kimpton Maa-Lai Bangkok,90
Barracuda Rooftop Bar Akara Hotel Bangkok,-2.7549102,9.03952,3,Good Location,1,100.0,Good Location,3092,Barracuda Rooftop Bar Akara Hotel Bangkok,90
Bay Beach Resort Jomtien Pattaya Staycation (Pattaya),-3.4462047,5.96598,1,Restaurant with Good View,1,100.0,Restaurant with Good View,5356,Bay Beach Resort Jomtien Pattaya Staycation (Pattaya),90
Bayan Seaside Terrace at Baan Bayan Beachfront Hotel (Hua Hin),-2.5740747,2.6714294,1,Restaurant with Good View,1,100.0,Restaurant with Good View,3163,Bayan Seaside Terrace at Baan Bayan Beachfront Hotel (Hua Hin),90
Beach Bar at Ibis Samui Bophut (Samui),-2.5033796,5.0689883,3,Good Location,1,100.0,Good Location,4126,Beach Bar at Ibis Samui Bophut (Samui),90
Beach Kitchen by Avalon Beach Resort Pattaya (Pattaya),-3.6547377,5.6793623,1,Restaurant with Good View,1,100.0,Restaurant with Good View,4163,Beach Kitchen by Avalon Beach Resort Pattaya (Pattaya),90
Beach Road Kitchen at JW Marriott Singapore South Beach,-2.5411987,5.1501603,1,Restaurant with Good View,1,100.0,Restaurant with Good View,5923,Beach Road Kitchen at JW Marriott Singapore South Beach,90
Beach Walk Cafe Bangsaen (Chonburi),-2.4208379,5.496007,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options,2091,Beach Walk Cafe Bangsaen (Chonburi),90
Beauty in The Pot,1.5774037,8.850139,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5285,Beauty in The Pot,90
Beef Express Muangthong Nonthaburi,5.946699,10.5829,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3181,Beef Express Muangthong Nonthaburi,90
Beef Express Yothinpattana 3,5.991967,10.318739,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,2252,Beef Express Yothinpattana 3,90
Beer Collection,4.834102,10.80192,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6162,Beer Collection,90
Beer Pradith,3.5954685,14.498153,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6583,Beer Pradith,90
Begin Again,2.4091067,14.630706,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5250,Begin Again,90
Behind Bars,5.967725,8.318538,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5959,Behind Bars,30
Benihana JW Marriott (Phuket),-0.07741695,4.58724,1,Restaurant with Good View,1,100.0,Restaurant with Good View,1905,Benihana JW Marriott (Phuket),90
Benihana at Avani Resort (Pattaya),-2.7203093,6.1723886,1,Restaurant with Good View,1,100.0,Restaurant with Good View,3367,Benihana at Avani Resort (Pattaya),90
Best Western Plus Nexen Staycation (Pattaya),-4.4492264,5.948761,1,Restaurant with Good View,1,100.0,Restaurant with Good View,6673,Best Western Plus Nexen Staycation (Pattaya),90
Big Bite Burger BKK,1.5701964,6.0441284,3,Good Location,1,100.0,Good Location,6184,Big Bite Burger BKK,90
Big Fish Siam At Siam (Pattaya),9.730588,3.8070645,1,Restaurant with Good View,1,100.0,Restaurant with Good View,6606,Big Fish Siam At Siam (Pattaya),90
Bigbeef Premium Halal Buffet,9.014016,8.267778,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,5545,Bigbeef Premium Halal Buffet,90
Bikuta Sushi & Teppan (Chonburi),3.505327,3.5777316,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3834,Bikuta Sushi & Teppan (Chonburi),90
Bikuta Sushi & Teppan Rama 2,4.880424,3.3406208,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,3833,Bikuta Sushi & Teppan Rama 2,90
Biscay at Best Western Plus Carapace Hotel (Hua Hin),-1.7048501,2.4657516,1,Restaurant with Good View,1,100.0,Restaurant with Good View,4878,Biscay at Best Western Plus Carapace Hotel (Hua Hin),90
Bistro M - Marriott Sukhumvit 101,-0.3230644,7.345707,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5809,Bistro M - Marriott Sukhumvit 101,90
Bistro M - Marriott Sukhumvit 50,-0.26025364,7.4245167,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5802,Bistro M - Marriott Sukhumvit 50,90
Bite Restaurant & Gallery (Phuket),0.36651352,4.9834046,1,Restaurant with Good View,1,100.0,Restaurant with Good View,3324,Bite Restaurant & Gallery (Phuket),90
Bittersweet Mövenpick BDMS Wellness Resort,-1.7084695,6.7243466,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3723,Bittersweet Mövenpick BDMS Wellness Resort,90
Blackheath Bistro,0.46749404,7.328271,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5278,Blackheath Bistro,90
Blackyard Roast & Brew,5.614159,10.819617,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6576,Blackyard Roast & Brew,90
Blue Elephant Sathorn,2.561487,13.101697,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6206,Blue Elephant Sathorn,90
Blue Elephant Sukhumvit,-1.3953443,8.373232,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6207,Blue Elephant Sukhumvit,90
Blue Sky Rooftop Bar Centara Grand at Central Plaza Ladprao,-3.1407583,9.294796,3,Good Location,1,100.0,Good Location,1159,Blue Sky Rooftop Bar Centara Grand at Central Plaza Ladprao,90
BlueSpice Grande Centre Point Sukhumvit 55,-1.436147,8.654036,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,2959,BlueSpice Grande Centre Point Sukhumvit 55,90
Boat Seafood (Phuket),0.5736034,4.651836,1,Restaurant with Good View,1,100.0,Restaurant with Good View,6244,Boat Seafood (Phuket),90
Bodegas Wine,-0.43272346,10.067017,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4148,Bodegas Wine,90
Bodhi Terrace at Anantara Chiang Mai Resort,-1.50652,6.6101384,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5840,Bodhi Terrace at Anantara Chiang Mai Resort,90
Bombay 2 Beirut,4.8007274,8.510061,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5429,Bombay 2 Beirut,90
Bond Street Bar Café,-1.0255169,12.228232,3,Good Location,1,100.0,Good Location,4574,Bond Street Bar Café,90
Bonus shabu,8.066935,5.2294865,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,5092,Bonus shabu,90
Boon Tong Kee Central Eastville,4.227746,6.3288307,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,1063,Boon Tong Kee Central Eastville,90
Boon Tong Kee Central Pinklao,4.129694,5.496639,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,680,Boon Tong Kee Central Pinklao,90
Boon Tong Kee Central Rayong (Rayong),4.303716,5.8713145,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,3817,Boon Tong Kee Central Rayong (Rayong),90
Boon Tong Kee Central Westgate,3.8128448,5.7584586,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,3241,Boon Tong Kee Central Westgate,90
Boon Tong Kee Future Park Rangsit,2.330773,7.8894024,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3085,Boon Tong Kee Future Park Rangsit,90
Boon Tong Kee PTT Borommaratchachonnani 97,4.3919516,11.773338,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5967,Boon Tong Kee PTT Borommaratchachonnani 97,90
Boon Tong Kee PTT Vibhavadi 62,3.1722653,8.595732,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4654,Boon Tong Kee PTT Vibhavadi 62,90
Boon Tong Kee Robinson Ratchaphruek,5.5388117,13.403204,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4560,Boon Tong Kee Robinson Ratchaphruek,90
Boon Tong Kee Seacon Square,3.716148,8.339578,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,668,Boon Tong Kee Seacon Square,90
Boon Tong Kee Sukhumvit 49,-1.4008157,8.229517,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,753,Boon Tong Kee Sukhumvit 49,90
Boon Tong Kee Terminal 21 Rama 3,6.188382,2.9095297,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,3561,Boon Tong Kee Terminal 21 Rama 3,30
Boon Tong Kee The Crystal Park,2.261844,7.639709,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5968,Boon Tong Kee The Crystal Park,90
Boon Tong Kee The Mall Bangkapi,5.8842874,11.031957,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4499,Boon Tong Kee The Mall Bangkapi,90
Boon Tong Kee The Up Rama 3,6.2851377,3.17584,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,923,Boon Tong Kee The Up Rama 3,90
Booster's Bar,-1.2273091,12.41186,3,Good Location,1,100.0,Good Location,3756,Booster's Bar,90
Botanic Backyard Bar & Restaurant,-1.7333275,11.617208,3,Good Location,1,100.0,Good Location,4142,Botanic Backyard Bar & Restaurant,90
Bottega del Gusto,5.584932,7.9977546,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6197,Bottega del Gusto,90
Bottle Rockets,2.3133838,13.03976,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5833,Bottle Rockets,90
Bounce Burger,2.886476,9.469942,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5348,Bounce Burger,90
Brewave Kanchanapisek,5.4417067,12.9399605,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4946,Brewave Kanchanapisek,90
Brewave Pinklao,4.8053713,12.86896,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6258,Brewave Pinklao,90
Brewave Ratchada,2.7335188,14.024333,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5888,Brewave Ratchada,90
