name,hybrid_cluster,cluster_label,avg_revenue_per_booking,avg_guests,active_days,log_bookings
ALRAY Fish & Chips,0,Everyday Casual Dining,131.08,2.6666666666666665,3,1.3862943611198906
ARIES 24 Cafe' & Resto Bar,0,Everyday Casual Dining,90.0,2.0,1,0.6931471805599453
ARUN THAI CUISINE BY SEE FAH,0,Everyday Casual Dining,230.0,3.5,2,1.0986122886681098
AV izakaya Lat Phrao 71,0,Everyday Casual Dining,294.0,3.0,1,0.6931471805599453
AV izakaya Saphan Khwai,0,Everyday Casual Dining,174.0,2.0,1,0.6931471805599453
AVA Brasserie at InterContinental Bangkok Sukhumvit,1,Experience-Oriented Dining,280.4869565217391,3.130434782608696,8,3.1780538303479458
Abandoned Mansion,0,Everyday Casual Dining,359.85,3.0,3,1.6094379124341003
About Beef Lava Grill,1,Experience-Oriented Dining,442.10625,3.5625,8,2.833213344056216
Above Eleven,0,Everyday Casual Dining,364.8,2.5,2,1.0986122886681098
Above Riva at Riva Arun,0,Everyday Casual Dining,220.0,2.0,3,1.3862943611198906
Abushi,0,Everyday Casual Dining,178.8,2.0,1,0.6931471805599453
AdHoc Bkk,0,Everyday Casual Dining,1243.02,2.0,1,1.0986122886681098
Aey Seafood,0,Everyday Casual Dining,292.8,4.0,1,0.6931471805599453
Aha's Shabu & Grill ,0,Everyday Casual Dining,128.52,3.5,4,1.6094379124341003
Aimée Petit Bistro,0,Everyday Casual Dining,332.64,2.4,4,1.791759469228055
Akako Omakase ,0,Everyday Casual Dining,288.0,2.0,2,1.3862943611198906
Akase Shabu ,0,Everyday Casual Dining,39.84,1.0,1,0.6931471805599453
Akimitsu Tendon Central Si Racha,0,Everyday Casual Dining,60.096000000000004,1.4,5,1.791759469228055
Akimitsu Tendon Central World,0,Everyday Casual Dining,121.44000000000001,2.2,5,1.791759469228055
Al Bahr Beach Bar @Marrakesh (Hua Hin),0,Everyday Casual Dining,226.8,4.0,1,0.6931471805599453
Alangkarn Sushi Rama 2,0,Everyday Casual Dining,82.8,2.0,1,0.6931471805599453
Alberto’s Pizzeria & Trattoria Novotel Bangkok Future Park Rangsit,0,Everyday Casual Dining,181.20000000000002,2.0,2,1.3862943611198906
Albricias at Chatrium Residence Sathorn,1,Experience-Oriented Dining,327.38,2.6,7,2.3978952727983707
Ale House - Riverside Bar at Millennium Hilton Bangkok,0,Everyday Casual Dining,287.76,2.0,2,1.0986122886681098
Aleenta Restaurant in Aleenta Hua Hin Resort & Spa (Hua hin),0,Everyday Casual Dining,100.0,2.0,2,1.0986122886681098
Alice’s Dining Hall,0,Everyday Casual Dining,178.8,2.5,2,1.0986122886681098
All Day Fine,0,Everyday Casual Dining,86.4,2.0,1,0.6931471805599453
Alpina Wine & Bistro,0,Everyday Casual Dining,310.8,2.0,1,0.6931471805599453
Amara Bangkok Hotel Staycation,0,Everyday Casual Dining,478.8,2.0,1,0.6931471805599453
Amaya Food Gallery Amari Bangkok,1,Experience-Oriented Dining,449.61538461538464,3.923076923076923,4,2.6390573296152584
"Ambrosia at Ten Six Hundred, Chao Phraya, Bangkok by Preference",0,Everyday Casual Dining,226.8,3.0,1,0.6931471805599453
Amorretto Cafe & Bistro,0,Everyday Casual Dining,211.08,4.0,1,0.6931471805599453
Anacot Revtaurant Si Phraya ,0,Everyday Casual Dining,130.8,2.0,1,0.6931471805599453
Anchor Premium Buffet,1,Experience-Oriented Dining,662.1536842105263,5.2105263157894735,9,2.995732273553991
Ancient Tea House Asiatique the Riverfront,0,Everyday Casual Dining,278.9,7.0,3,1.6094379124341003
Aneki × Paper Meal ,0,Everyday Casual Dining,114.0,3.0,1,0.6931471805599453
Ang Sila Bangna Seafood,0,Everyday Casual Dining,116.4,3.0,2,1.0986122886681098
Angel Shabu Mala Bearing 17,0,Everyday Casual Dining,42.96,2.0,2,1.0986122886681098
Annyeong Grill 안녕 그릴  Ozone One – Songprapha,0,Everyday Casual Dining,104.7,2.5,2,1.0986122886681098
Annyeong Grill 안녕 그릴 Railway Station (Chiangmai),0,Everyday Casual Dining,293.4,5.0,1,0.6931471805599453
Annyeong Grill 안녕 그릴 San Phi Suea (Chiangmai),0,Everyday Casual Dining,83.76,2.0,1,0.6931471805599453
Anya Authentic Thai Cuisine,0,Everyday Casual Dining,149.0,4.0,1,0.6931471805599453
Anya's Place,0,Everyday Casual Dining,326.56,5.666666666666667,3,1.3862943611198906
Ao Talay Theprak Saphan Mai,0,Everyday Casual Dining,82.8,2.5,2,1.0986122886681098
April64 ,0,Everyday Casual Dining,322.8,3.0,2,1.0986122886681098
Apsara Cruise by Banyan Tree,0,Everyday Casual Dining,1188.0,3.0,1,0.6931471805599453
Aqua Bar & Grill Springfield at Sea Resort & Spa (Hua Hin),0,Everyday Casual Dining,203.88,3.5,2,1.0986122886681098
Aquario Rooftop Pool Bar & Restaurant The Sanctuary Resort (Pattaya),0,Everyday Casual Dining,167.76,2.0,1,0.6931471805599453
Ar Tee Mala Shabu Ping Yang,0,Everyday Casual Dining,107.76,2.0,1,0.6931471805599453
Area Five Café and Eatery,0,Everyday Casual Dining,512.4,5.0,1,0.6931471805599453
Areeya Mookrata Chula-Banthat Thong,0,Everyday Casual Dining,143.64,3.0,1,0.6931471805599453
Areeya Mookrata New Petchaburi,0,Everyday Casual Dining,95.76,2.0,1,0.6931471805599453
Areeya Mookrata Pradiphat,0,Everyday Casual Dining,114.0,2.0,1,0.6931471805599453
Arno's Naradhiwas Rajanagarindra Soi 20,0,Everyday Casual Dining,260.64,4.0,1,0.6931471805599453
Arno's Silom Serene Hotel,1,Experience-Oriented Dining,66.51428571428572,1.1428571428571428,7,2.0794415416798357
Arno's The Circle Ratchapruek,0,Everyday Casual Dining,21.52,1.0,1,0.6931471805599453
Assembly Point Thonglor @ One One Hotel Bkk,0,Everyday Casual Dining,363.48,4.333333333333333,2,1.3862943611198906
Astro Ekkamai,2,Premium Buffet & Large-Format Dining,1353.6,16.0,1,0.6931471805599453
At-Ta-Rote,0,Everyday Casual Dining,214.20000000000002,3.0,2,1.0986122886681098
Atelier Restaurant at Hilton Bangkok Grande Asoke,1,Experience-Oriented Dining,370.6363636363636,2.272727272727273,3,2.4849066497880004
Atmos On Top Silom,0,Everyday Casual Dining,277.84,2.0,2,1.3862943611198906
Atrium Restaurant The Landmark Bangkok Hotel,1,Experience-Oriented Dining,710.5260869565218,4.478260869565218,9,3.1780538303479458
Attico Cucina Italiana Radisson Blu Plaza Bangkok,0,Everyday Casual Dining,99.0,2.0,1,0.6931471805599453
Audrey Cafe Central Ladprao,0,Everyday Casual Dining,110.36000000000001,2.5,2,1.0986122886681098
Audrey Cafe EmQuartier,1,Experience-Oriented Dining,341.155,5.659090909090909,15,3.8066624897703196
Audrey Cafe Thonglor Soi 11,1,Experience-Oriented Dining,164.0751219512195,3.1463414634146343,10,3.7376696182833684
Audrey Restaurant - A Chatrium Collection (Khao Yai),0,Everyday Casual Dining,67.9,2.0,1,0.6931471805599453
Aufu Bar,0,Everyday Casual Dining,162.0,2.0,1,0.6931471805599453
Avalon Cafe & Restaurant (Phitsanulok),0,Everyday Casual Dining,138.0,3.0,1,0.6931471805599453
Away Bangkok Riverside Kene Staycation,0,Everyday Casual Dining,296.25,2.0,2,1.6094379124341003
Axis & Spin Sky Lounge & Bar Rooftop at The Continent Boutique Hotel,0,Everyday Casual Dining,530.0,2.0,2,1.0986122886681098
Ayutthaya Retreat (Ayutthaya),0,Everyday Casual Dining,226.8,4.0,1,0.6931471805599453
B.Burnt Bistro Central Si Racha (Chon Buri),0,Everyday Casual Dining,150.0,2.0,1,0.6931471805599453
BEACHSIDE BAR  บีชไซด์ บาร์ @ MASON,0,Everyday Casual Dining,151.9,1.0,1,0.6931471805599453
BNP Cuisine,0,Everyday Casual Dining,269.28,3.0,1,0.6931471805599453
Baan Borneo Club by 137 Pillars,0,Everyday Casual Dining,258.0,2.0,2,1.0986122886681098
Baan Daeng by Methavalai Sorndaeng,0,Everyday Casual Dining,226.8,3.0,1,0.6931471805599453
Baan Dalaa by Angkana,0,Everyday Casual Dining,264.0,3.0,2,1.0986122886681098
Baan Glom Gig ,0,Everyday Casual Dining,270.0,4.0,1,0.6931471805599453
Baan Itsara (Huahin),0,Everyday Casual Dining,214.8,2.5,2,1.0986122886681098
Baan Khanitha Thai Cuisine Sukhumvit 23,0,Everyday Casual Dining,346.0,2.6666666666666665,3,1.3862943611198906
Baan Khanitha and Gallery Sathorn,0,Everyday Casual Dining,214.20000000000002,3.0,2,1.0986122886681098
Baan Moo Hun,0,Everyday Casual Dining,87.6,2.0,1,0.6931471805599453
Baan Nhuer Nham,0,Everyday Casual Dining,298.8,4.0,1,0.6931471805599453
Baan Nuea Yaang,0,Everyday Casual Dining,106.2,3.0,2,1.0986122886681098
Baan Suan Rim Khlong Maha Sawat,0,Everyday Casual Dining,143.88,3.0,2,1.0986122886681098
Baan Suriyasai @ One Bangkok,0,Everyday Casual Dining,149.0,2.0,1,0.6931471805599453
Baan Suriyasai @ Surawongse,0,Everyday Casual Dining,199.0,3.0,2,1.0986122886681098
Baantye,0,Everyday Casual Dining,189.48,3.0,1,0.6931471805599453
Baba Beach Restaurant at Baba Beach Club (Hua Hin),0,Everyday Casual Dining,169.0,2.0,1,0.6931471805599453
Baba Hot Box at Sri Panwa (Phuket),0,Everyday Casual Dining,199.0,2.0,1,0.6931471805599453
Baba IKI at Sri Panwa (Phuket),0,Everyday Casual Dining,599.0,4.0,1,0.6931471805599453
Baba Poolclub at Sri Panwa (Phuket),0,Everyday Casual Dining,314.0,2.5,2,1.0986122886681098
Baba Soul Food Baba Beach Club (Hua Hin) ,0,Everyday Casual Dining,70.0,2.0,2,1.0986122886681098
Babble and Grill at Riva Surya Bangkok,0,Everyday Casual Dining,285.0,3.0,1,0.6931471805599453
Babette's The Steakhouse Bangkok,0,Everyday Casual Dining,407.76,2.0,1,0.6931471805599453
Badasga Beach Club (Chonburi),0,Everyday Casual Dining,126.0,2.0,1,0.6931471805599453
Bai Yun Banyan Tree Bangkok,1,Experience-Oriented Dining,400.7894736842105,4.087719298245614,19,4.060443010546419
Bajika Restaurant and Music ,0,Everyday Casual Dining,191.88,3.5,2,1.0986122886681098
Bake The Story (Phuket),0,Everyday Casual Dining,94.8,3.0,1,0.6931471805599453
Ballad Riverside Rooftop Bar & Restaurant,0,Everyday Casual Dining,478.8,4.0,1,0.6931471805599453
Bangkok Balcony  (Indoor Zone) 81st floor at Baiyoke Sky Hotel,1,Experience-Oriented Dining,436.9736842105263,3.263157894736842,11,2.995732273553991
Bangkok Chim Chum ,0,Everyday Casual Dining,78.0,3.0,1,0.6931471805599453
Bangkok Heightz The Continent Hotel Bangkok,0,Everyday Casual Dining,599.8,4.0,1,0.6931471805599453
Bangkok Sky Buffet (76/78th floor) at Baiyoke Sky Hotel ,1,Experience-Oriented Dining,346.25,3.6842105263157894,16,3.6635616461296463
Bangkok Trading Post Bistro & Bar by 137 Pillars,0,Everyday Casual Dining,149.9,2.0,1,0.6931471805599453
Bangkok'78 at Sindhorn Midtown Hotel Bangkok,0,Everyday Casual Dining,227.5,2.5,1,1.0986122886681098
Bangrak Grill at Grande Centre Point Surawong,0,Everyday Casual Dining,203.76,2.0,1,0.6931471805599453
Banh Bistro @Ramada Plaza Sukhumvit 48,0,Everyday Casual Dining,143.76,2.0,1,0.6931471805599453
Bann Rommai Mookata ,0,Everyday Casual Dining,127.2,4.0,1,0.6931471805599453
Banthat Thong Roast Duck,0,Everyday Casual Dining,162.0,5.0,1,0.6931471805599453
Banyan Tree Bangkok Staycation,1,Experience-Oriented Dining,991.8399999999999,2.0,5,1.791759469228055
Bar Archive,0,Everyday Casual Dining,214.80000000000004,2.0,2,1.3862943611198906
Bar.Yard at Kimpton Maa-Lai Bangkok,1,Experience-Oriented Dining,225.0,2.5,5,2.1972245773362196
Barracuda Rooftop Bar Akara Hotel Bangkok,0,Everyday Casual Dining,318.0,2.0,1,0.6931471805599453
Barsu at Sheraton Grande Sukhumvit,0,Everyday Casual Dining,149.0,4.0,1,0.6931471805599453
Basil at Sheraton Grande Sukhumvit A Luxury Collection Hotel,0,Everyday Casual Dining,436.45,3.5,2,1.0986122886681098
Bawarchi Rooftop At Solitaire Bangkok Sukhumvit 11,0,Everyday Casual Dining,226.8,2.0,1,0.6931471805599453
Bay Beach Resort Jomtien Pattaya Staycation (Pattaya),0,Everyday Casual Dining,228.0,2.5,2,1.0986122886681098
Bayan Seaside Terrace at Baan Bayan Beachfront Hotel (Hua Hin),0,Everyday Casual Dining,140.4,2.0,1,0.6931471805599453
Beach Bar at Ibis Samui Bophut (Samui),0,Everyday Casual Dining,258.0,2.0,1,0.6931471805599453
Beach Kitchen by Avalon Beach Resort Pattaya (Pattaya),0,Everyday Casual Dining,126.0,2.0,1,0.6931471805599453
Beach Walk Cafe Bangsaen (Chonburi),0,Everyday Casual Dining,152.33333333333334,2.6666666666666665,3,1.3862943611198906
Beef Express Muangthong Nonthaburi,1,Experience-Oriented Dining,180.72727272727272,2.1818181818181817,6,2.4849066497880004
Beef Express Yothinpattana 3,1,Experience-Oriented Dining,277.1333333333333,2.7333333333333334,9,2.772588722239781
Beer Pradith,0,Everyday Casual Dining,182.4,2.0,1,0.6931471805599453
Bella Sera at Sofitel Bangkok Sukhumvit Hotel,0,Everyday Casual Dining,153.95,2.5,2,1.0986122886681098
Benares Modern Indian Cuisine Bangkok,0,Everyday Casual Dining,250.0,2.0,1,0.6931471805599453
Benihana Grand Mercure Bangkok Atrium,0,Everyday Casual Dining,837.2666666666668,4.333333333333333,3,1.3862943611198906
Benihana JW Marriott (Phuket),0,Everyday Casual Dining,1092.025,4.75,4,1.6094379124341003
Benihana at Avani Resort (Pattaya),0,Everyday Casual Dining,1134.0,5.0,1,0.6931471805599453
Benihana at Riverside Plaza,0,Everyday Casual Dining,534.6999999999999,3.0,4,1.9459101490553132
Benjarong Bangkok at Baan Dusit Thani,0,Everyday Casual Dining,287.0,2.5,2,1.0986122886681098
Benjarong Hotel Bangkok Staycation,0,Everyday Casual Dining,480.0,2.0,1,0.6931471805599453
Best Western Plus Nexen Staycation (Pattaya),0,Everyday Casual Dining,355.8,2.0,2,1.0986122886681098
Big Bite Burger BKK,0,Everyday Casual Dining,165.20000000000002,3.0,3,1.3862943611198906
Big Fish Siam At Siam (Pattaya),0,Everyday Casual Dining,174.96,2.0,2,1.0986122886681098
Bigbeef Premium Halal Buffet,0,Everyday Casual Dining,205.2,2.0,1,0.6931471805599453
Bikuta Sushi & Teppan (Chonburi),0,Everyday Casual Dining,179.88,2.0,1,0.6931471805599453
Bikuta Sushi & Teppan Rama 2,0,Everyday Casual Dining,276.0,4.0,1,0.6931471805599453
Biscay at Best Western Plus Carapace Hotel (Hua Hin),0,Everyday Casual Dining,307.59999999999997,3.3333333333333335,2,1.3862943611198906
Biscotti Anantara Siam Bangkok Hotel,0,Everyday Casual Dining,360.0,2.0,1,0.6931471805599453
Bistro M - Marriott Sukhumvit 101,0,Everyday Casual Dining,130.8,2.0,1,0.6931471805599453
Bistro M - Marriott Sukhumvit 50,0,Everyday Casual Dining,116.4,3.0,1,1.0986122886681098
"Bistro M at Marriott Executive Apartments Sukhumvit Park, Bangkok",0,Everyday Casual Dining,360.0,4.0,5,1.791759469228055
Bite Restaurant & Gallery (Phuket),0,Everyday Casual Dining,131.88,2.0,1,0.6931471805599453
Bittersweet Mövenpick BDMS Wellness Resort,0,Everyday Casual Dining,144.0,2.0,1,0.6931471805599453
Blackheath Bistro,0,Everyday Casual Dining,135.0,2.5,1,1.0986122886681098
Blackyard Roast & Brew,0,Everyday Casual Dining,298.8,4.0,1,0.6931471805599453
Bloom Café & Garden Lounge at Floral Court Hotel,0,Everyday Casual Dining,126.0,2.0,1,0.6931471805599453
Blue Elephant Sathorn,0,Everyday Casual Dining,671.0,2.5,2,1.0986122886681098
Blue Elephant Sukhumvit,0,Everyday Casual Dining,329.6,1.0,1,0.6931471805599453
Blue Parrot Bangkok,0,Everyday Casual Dining,138.48,2.0,1,0.6931471805599453
Blue Sky Rooftop Bar Centara Grand at Central Plaza Ladprao,1,Experience-Oriented Dining,298.25,2.25,6,2.1972245773362196
BlueSpice Grande Centre Point Sukhumvit 55,1,Experience-Oriented Dining,134.33333333333334,2.3333333333333335,4,2.302585092994046
Blueraybar Rooftop ,0,Everyday Casual Dining,190.8,3.0,1,0.6931471805599453
Boat Seafood (Phuket),0,Everyday Casual Dining,270.0,3.0,1,0.6931471805599453
Bodegas Wine,0,Everyday Casual Dining,438.48,2.6,5,1.791759469228055
Bodhi Terrace at Anantara Chiang Mai Resort,0,Everyday Casual Dining,132.96,1.0,1,0.6931471805599453
Bond Street Bar Café,0,Everyday Casual Dining,297.6,3.0,1,0.6931471805599453
Bonus shabu,0,Everyday Casual Dining,201.12,4.0,2,1.0986122886681098
Boon Tong Kee Central Eastville,0,Everyday Casual Dining,136.5,4.0,2,1.0986122886681098
Boon Tong Kee Central Pinklao,1,Experience-Oriented Dining,125.92857142857143,3.0,5,2.0794415416798357
Boon Tong Kee Central Rama 2 ,0,Everyday Casual Dining,89.4,2.6,3,1.791759469228055
Boon Tong Kee Central Rayong (Rayong),0,Everyday Casual Dining,69.0,2.0,1,0.6931471805599453
Boon Tong Kee Central Westgate,0,Everyday Casual Dining,83.4,2.6,3,1.791759469228055
Boon Tong Kee Future Park Rangsit,0,Everyday Casual Dining,131.5,3.8333333333333335,4,1.9459101490553132
Boon Tong Kee PTT Borommaratchachonnani 97,0,Everyday Casual Dining,111.0,3.0,3,1.6094379124341003
Boon Tong Kee PTT Vibhavadi 62,0,Everyday Casual Dining,115.0,3.3333333333333335,2,1.3862943611198906
Boon Tong Kee Robinson Ratchaphruek,0,Everyday Casual Dining,135.0,4.0,1,0.6931471805599453
Boon Tong Kee Seacon Square,1,Experience-Oriented Dining,111.41428571428571,3.357142857142857,5,2.70805020110221
Boon Tong Kee Sukhumvit 49,0,Everyday Casual Dining,81.7,2.0,3,1.6094379124341003
Boon Tong Kee Terminal 21 Rama 3,0,Everyday Casual Dining,120.0,3.0,2,1.0986122886681098
Boon Tong Kee The Crystal Park,0,Everyday Casual Dining,150.0,4.4,4,1.791759469228055
Boon Tong Kee The Mall Bangkapi,1,Experience-Oriented Dining,84.33333333333333,2.5555555555555554,6,2.302585092994046
Boon Tong Kee The Mall Lifestore Bangkae,0,Everyday Casual Dining,69.0,2.0,1,0.6931471805599453
Boon Tong Kee The Up Rama 3,1,Experience-Oriented Dining,88.33333333333333,2.7777777777777777,5,2.302585092994046
Booster's Bar,0,Everyday Casual Dining,214.8,4.0,1,0.6931471805599453
Botanic Backyard Bar & Restaurant,0,Everyday Casual Dining,100.2,2.0,1,0.6931471805599453
Bounce Burger,0,Everyday Casual Dining,148.8,2.5,2,1.0986122886681098
Brasserie 9,0,Everyday Casual Dining,751.8,3.5,2,1.0986122886681098
Brewave Kanchanapisek,0,Everyday Casual Dining,82.8,3.0,1,0.6931471805599453
Brewave Pinklao,0,Everyday Casual Dining,207.20000000000002,2.3333333333333335,3,1.3862943611198906
Brewave Ratchada,0,Everyday Casual Dining,189.6,2.0,1,0.6931471805599453
Brewski Rooftop Sports Bar Radisson Blu Plaza Bangkok (Indoor),0,Everyday Casual Dining,99.8,2.0,2,1.0986122886681098
Bricks and Barrels (Pattaya),0,Everyday Casual Dining,142.8,2.0,1,0.6931471805599453
Brio at Anantara Riverside Bangkok Resort,0,Everyday Casual Dining,199.9,2.0,1,0.6931471805599453
Bro Smoke,0,Everyday Casual Dining,138.0,2.0,1,0.6931471805599453
Bro's Grill & Beer,0,Everyday Casual Dining,477.12,2.0,1,0.6931471805599453
Broccoli Revolution Sukhumvit 49,0,Everyday Casual Dining,90.0,2.0,1,0.6931471805599453
Brown Burgundy,0,Everyday Casual Dining,261.6,4.0,1,0.6931471805599453
Bu Lan Dun Mek,0,Everyday Casual Dining,102.0,3.0,1,0.6931471805599453
Bua Terrace (Rayong),0,Everyday Casual Dining,104.4,2.0,1,0.6931471805599453
Bubble in the Forest Cafe,0,Everyday Casual Dining,322.8,2.25,4,1.6094379124341003
Buenos Mexican Restaurant (Pattaya),0,Everyday Casual Dining,150.0,2.0,1,0.6931471805599453
Buonissimo Italian Restaurant & Pizzeria,0,Everyday Casual Dining,98.4,2.0,1,0.6931471805599453
Burbrit Craft Beer Phra Khanong,0,Everyday Casual Dining,158.4,2.0,1,0.6931471805599453
Burbrit Craft Beer Sukhumvit 22,0,Everyday Casual Dining,165.60000000000002,2.0,2,1.0986122886681098
Butcher Factory by Bangkok Butcher,0,Everyday Casual Dining,376.5,2.5,3,1.6094379124341003
CHANAN Japanese Cuisine (Samut Sakhon),0,Everyday Casual Dining,138.0,3.0,1,0.6931471805599453
CHOB Craft Beef & Beer ,0,Everyday Casual Dining,126.80000000000001,2.0,3,1.3862943611198906
CIBO Bangkok ,0,Everyday Casual Dining,532.8,8.0,1,0.6931471805599453
CLAWS & CO - Anantara Mai Khao Phuket Villas (Phuket),0,Everyday Casual Dining,286.8,2.0,2,1.0986122886681098
COAL Bake&Grill  ,0,Everyday Casual Dining,138.0,3.0,1,0.6931471805599453
COCOA XO Bar at Red Sky 57th Floor,0,Everyday Casual Dining,150.55,1.5,2,1.0986122886681098
COMMU Rooftop Cafe,0,Everyday Casual Dining,80.4,2.0,2,1.0986122886681098
CROW Craft & Cuisine ,0,Everyday Casual Dining,214.8,4.0,1,0.6931471805599453
CUTTS Sathorn Omakase,0,Everyday Casual Dining,239.76,2.0,1,0.6931471805599453
Caesa Delicious Bang Bon 3,0,Everyday Casual Dining,66.0,2.0,1,0.6931471805599453
Cafe Chilli One Bangkok,0,Everyday Casual Dining,164.6,3.2,3,1.791759469228055
Cafe Chilli QSNCC,0,Everyday Casual Dining,114.35,2.5,2,1.0986122886681098
Cafe Claire by Oriental Residence,0,Everyday Casual Dining,119.9,3.0,1,0.6931471805599453
Cafe de Jasmine at Jasmine 59 Hotel (Thong Lor),0,Everyday Casual Dining,54.36,2.0,1,0.6931471805599453
Cafe de Salil La Petite Salil Sukhumvit Thonglor 1 ,0,Everyday Casual Dining,54.0,2.0,1,0.6931471805599453
Cafe22 by Courtyard by Marriott North Pattaya (Pattaya),0,Everyday Casual Dining,120.0,2.0,1,0.6931471805599453
CafeSlash ,0,Everyday Casual Dining,138.0,4.0,1,0.6931471805599453
Cairo Bangkok,0,Everyday Casual Dining,172.0,2.3333333333333335,3,1.3862943611198906
Calm Kraam,0,Everyday Casual Dining,119.88,4.0,1,0.6931471805599453
Camin Cuisine & Cafe Central Rama 9,0,Everyday Casual Dining,202.5,3.75,4,1.6094379124341003
Camin Cuisine & Cafe Seacon Square Srinagarindra,0,Everyday Casual Dining,118.80000000000001,3.5,2,1.0986122886681098
Canale House,1,Experience-Oriented Dining,146.4,4.0,9,2.3978952727983707
Cantina Wine Bar & Italian Kitchen,0,Everyday Casual Dining,282.0,2.0,1,0.6931471805599453
Caper by Dan Bark,0,Everyday Casual Dining,222.60000000000002,2.25,3,1.6094379124341003
Carmina Restaurant & Bar Sukhumvit Soi 20,0,Everyday Casual Dining,324.0,3.0,2,1.0986122886681098
"Castaway Restaurant, Café & Pool Bar (Pattaya)",0,Everyday Casual Dining,239.76,5.0,1,0.6931471805599453
Caviar Café by Nai Lert,0,Everyday Casual Dining,1606.8,2.0,1,0.6931471805599453
Celadon The Sukhothai Bangkok ,0,Everyday Casual Dining,480.0,2.0,1,0.6931471805599453
Centara Ayutthaya Staycation (Ayutthaya),0,Everyday Casual Dining,746.4,2.6666666666666665,3,1.3862943611198906
