,restaurant name,text,cluster,theme
10,1947 Kitchen at Hyatt Place Bangkok Sukhumvit 1,"1947 Kitchen at Hyatt Place Bangkok Sukhumvit 1 Its very spacious and clean. Love their chicken biryani  one of the best in town. The service is great too especially by Gun   Aew and Poy. I have visited a couple of times for breakfast and dinner  its worth it 1947 Kitchen at Hyatt Place Bangkok Sukhumvit 1 Excellent the staff Bum is extremely very good attendant 1947 Kitchen at Hyatt Place Bangkok Sukhumvit 1 Ms Gun
Beautiful food and wonderful and very nice service 1947 Kitchen at Hyatt Place Bangkok Sukhumvit 1 Great value all you can eat lunch buffet. For a price only at 799 net  you get a very tasty premium grilled as a main dish ( wagyu steak is recommended  thanks me later ). Plus over 30 menus that you will be able to order unlimited. Pan fried duck confit with red wine is surprisingly good! This package also includes dessert and water  coffer or tea. Couldn’t ask for more. 1947 Kitchen at Hyatt Place Bangkok Sukhumvit 1 Had a wonderful experience at 1947 Kitchen! The food was delicious  but what really made the evening special was the amazing staff. A big thank you to Khun Bum  Khun Aew  and Khun Gun for their warm hospitality  professionalism  and friendly service. You truly made us feel welcome and taken care of. Highly recommended! ",6,
11,212 Rooftop Bar At Ibis Styles Bangkok Ratchada,"212 Rooftop Bar At Ibis Styles Bangkok Ratchada  212 Rooftop Bar At Ibis Styles Bangkok Ratchada Great place  I recommend coming to relax in the evening. 212 Rooftop Bar At Ibis Styles Bangkok Ratchada Cool  relaxing and comfy 212 Rooftop Bar At Ibis Styles Bangkok Ratchada The food was edible  but the prices were extremely high.
The staff didn't pay much attention to the table; I asked for ice and waited 15 minutes and still didn't get it.
The atmosphere was actually nice  but there were too many mosquitoes. 212 Rooftop Bar At Ibis Styles Bangkok Ratchada Rooftop chill ",3,Good Location
12,224 Winesphere,"224 Winesphere The atmosphere was amazing! Everyone was so kind  from the owner to the customers sitting next to me. I was very impressed. They have a great selection of wines at excellent prices. Definitely give it a try!

Friendly surroundings with a really reasonable wine list! Incredible wine connections around this area.

See you again real soon 🤍 224 Winesphere They pick the wine I enjoy.
220baht for a glass. It was really nice. Didn't serve the food that day. 224 Winesphere  224 Winesphere nice collection of wine 224 Winesphere  ",0,Various Menus & Quality Food
13,24 Twenty-Four Food & Beverage,"24 Twenty-Four Food & Beverage Nice experience with the chef in box.. more on the vending machine order foods  drinks and titbits..

Open 24 hours.. anytime can just drop by and order.. 24 Twenty-Four Food & Beverage THEY FINALLY RESTOCKED FOOD AND FIXED THE MACHINES VERY HAPPY VERY NICE PLEASE CONTINUE TO RESTOCK🙏🙏 24 Twenty-Four Food & Beverage Not bad  I would say decent 24 Twenty-Four Food & Beverage Hope that they can fix their 2nd machine too only one is working!! As we having funeral 24 Twenty-Four Food & Beverage Literally everything is out of order other than the snacks and cold drinks vending machines ",0,Various Menus & Quality Food
14,27 Bites Brasserie at Radisson Blu Plaza Bangkok,"27 Bites Brasserie at Radisson Blu Plaza Bangkok The food is delicious  fresh  clean  and absolutely worth it! 27 Bites Brasserie at Radisson Blu Plaza Bangkok The food was varied and delicious  and the service was good.
The restaurant was clean  the atmosphere was pleasant and not cramped  and the price was reasonable considering the quality of each dish. 27 Bites Brasserie at Radisson Blu Plaza Bangkok I went to Cabano Sunday Brunch on a Sunday at the end of the month. It's Latin style  1490++ baht  and only available this month. If you like Latin food  you'll probably like it. There's a good selection of Latin dishes. The BBQ section with lamb and pork was very tender. You also get one margarita per person  which was delicious. The time is from 11:30 AM to 3:00 PM  giving you plenty of time to eat. There are lots of desserts and Japanese dishes  but maybe fewer other menu items. 27 Bites Brasserie at Radisson Blu Plaza Bangkok DON’T GO. They took away the oysters mid buffet…cheap restaurants unacceptable for the price. They also MADE ME LOOK BAD BY CHASING ME SAYING I DIDN’T PAY!!!!!! NEVER GO 27 Bites Brasserie at Radisson Blu Plaza Bangkok Today  three of us came for the buffet dinner  priced at 999 baht per person  starting at 6 PM on Fridays  Saturdays  and Sundays. We planned to try the grilled lamb ribs  fresh French oysters  steamed Surat Thani crab  grilled prawns  grilled mantis shrimp  beef steak  and sashimi.

The atmosphere was pleasantly air-conditioned with background music (not live music).

The staff  both male and female  provided excellent service  engaging in conversation and greeting customers upon entering  during  and upon leaving the restaurant.

>
1. Fresh French Oysters
2. Grilled Prawns
3. Grilled Mantis Shrimp
4. Braised Beef Cheeks in Red Wine Sauce
5. Sashimi (Salmon  Tuna)
6. Truffle Pizza ",6,
15,28Ventotto,"28Ventotto The Italian food here is authentically Italian  but the prices are quite high. The coffee is good  with a fragrant aroma and smooth taste. The restaurant is air-conditioned and there is parking available. 28Ventotto Since it's a restaurant not far from home  and we've seen it many times  we finally had the chance to take our family there.
We made a reservation for dinner with our family on the 2nd of this month. There were over 10 of us  and we were given two separate tables  which the staff explained was to make it easier to move around  which was fine with us.

So  one table was for the adults  and the other was for the grandchildren. Everyone ordered their own dishes.
We ordered many things  including salad  spaghetti with dried chilies and carbonara  nachos  spare ribs  baked vegetables with cheese  halibut  etc.
The grandchildren also ordered pizza and several other items. After ordering  the dishes started to come out gradually.

At first  it was strange that the staff started serving the grandchildren's table first  even though the adults' table had finished ordering some time ago. But since we're all family  we didn't mind.

Overall  the service and food coming out of the kitchen were steadily increasing  but some dishes were served slowly. Our two tables exchanged glances several times  asking how many items were missing  and the elderly members of our group started getting tired and sleepy  becoming irritable while waiting.
We waited for quite a while... Finally  a staff member came out and informed us that the fish & chips couldn't be served because the fryer was malfunctioning  and offered to serve a salmon dish instead  free of charge. Everyone looked at each other in confusion and nodded in acknowledgment.
At that point  the fish dish we had ordered a long time ago still hadn't been served  so we asked how long it would take. The restaurant said that all the dishes would be ready within 10 minutes  so we decided to wait.

During this time  a female owner  who we weren't sure was also the chef  came out and politely apologized to both tables.

A little later  a staff member went to another table  informed them about the missing dish  and said they would serve salmon instead of fish & chips  along with an extra pizza for each table as an additional apology.

P.S. When we arrived  we saw a large table seated together already there  and other tables were gradually filling up the restaurant. We're not sure why the food was stuck and taking so long to come out that evening.

Personally  the sincerity shown by the owner and staff in explaining  apologizing  and taking responsibility showed genuine intent. We don't think any other restaurant would accept and choose to take action as sincerely as they did that day. We also think there must have been some kind of problem in the kitchen causing this issue with the food service line  which we can understand. And they didn't hold a grudge in the end.
They just tried to entertain the elderly person  make them understand  and get them home first.

Regarding the taste of the food  I personally think the restaurant put a lot of effort into it and did a good job with many dishes. I liked many of the dishes. If I have the opportunity  I might stop by again. 28Ventotto The staff were lovely  helpful  and very polite. 28Ventotto Truly delicious. Great food and coffee all in one place. 28Ventotto The food is delicious  perfect for a family meal. The restaurant is beautiful with many photo opportunities. ",0,Various Menus & Quality Food
16,298 Nikuya Yakiniku,"298 Nikuya Yakiniku This is a buffet with excellent quality meat at a great price.
No gamey smell  and all the meat was incredibly tender.
For 1099+ baht  you can choose four types of meat.
Besides the amazing meat  the side dishes are plentiful and delicious. Wow! There's a huge variety of radish kimchi  cabbage kimchi  seaweed soup  egg soup  and salads.
There's also seaweed salad and grilled rice balls.
Even my friend who doesn't eat beef said the pork  chicken  and side dishes were worth it (a fujoshi following in P'Phaw's footsteps).
There are also many sauces to choose from  including lemon and pink salt  and the smell doesn't linger on you much. Great!
The staff are also lovely and provide excellent service.
For large groups  there are long tables available on the second floor that can seat ten or more people.
- Credit cards accepted.
- No parking available. Park at B1 or EmQuartier.
- There's also an Asahi buffet for only 299 baht. 298 Nikuya Yakiniku The meat was tender and melted in your mouth. Excellent service. The staff were polite and courteous. 298 Nikuya Yakiniku The air conditioner is not very cool. 298 Nikuya Yakiniku  298 Nikuya Yakiniku Thumbs up! The service was great and the food was delicious. ",0,Various Menus & Quality Food
17,4K Cafe by Cross Vibe Decem (Chiang Mai),"4K Cafe by Cross Vibe Decem (Chiang Mai)  4K Cafe by Cross Vibe Decem (Chiang Mai) Nice staff and delicious food. The prices are reasonable."" 4K Cafe by Cross Vibe Decem (Chiang Mai) Stayed here at Cross Vibe Chiang Mai Decem and enjoyed cocktails and shots at their poolside restaurant and bar. Cozy ambience with friendly service from the team. ",4,Extensive Alcohol Beverage Options
18,4K Café Cross Vibe Bangkok Sukhumvit Hotel,"4K Café Cross Vibe Bangkok Sukhumvit Hotel  4K Café Cross Vibe Bangkok Sukhumvit Hotel  4K Café Cross Vibe Bangkok Sukhumvit Hotel 😍 Hello and welcome  everyone! 📅 Happy December! The month of happiness! 🎊 The month of parties  smiles  and fun! 😂 And a variety of chaotic year-end activities!

🎊 Today  we have a mini-party from Wongnai to review. I just joined the 2019 New Year's Eve party  and this is my first year! 📅 The event was held this past Saturday  December 21  2019.

🚶 The restaurant we visited today is X2 Cafe (Fork Vibe) 🏨 in the X2 Vibe Bangkok Sukhumvit hotel  located behind Lotus On Nut.

🏨 X2 Vibe Bangkok is a newly opened hotel in 2017. 😍 Their slogan is ""Stay  Chill  Enjoy"" 😂

❄ The decor: The restaurant is decorated in a mostly white and turquoise theme. With a visually pleasing concept 👀 and inviting seating  there's both a bar area and indoor and outdoor seating.

📖 Menu :: We offer Thai  European  and fusion dishes combining both Thai and European cuisines for you to try.

🚗 Access :: Accessible via both Sukhumvit Soi 52 (BTS Exit 4 🚄) and Sukhumvit Soi 50 (a 5-minute walk down the alley).🚶

🚗 Parking :: Parking available within the hotel.

⛳ Location :: Located on the ground floor of the X2 Vibe Bangkok Hotel

🕒 Opening Hours :: 6:30 AM to 12:00 AM

📅 Schedule
6:00 PM to 6:30 PM :: Registration
6:30 PM to 7:30 PM :: Buffet
7:30 PM to 8:30 PM :: Opening ceremony  lucky draw  and photo ops.

🚶 Upon entering the restaurant  we were greeted warmly by the staff. We then proceeded to the registration table. We were given glasses  eye masks  and small  cute  circular plates. I'm not sure what they're called  but we each received one set. The glasses we received ☕ had our names written on the side  the usernames we used to register. It was so pretty and adorable! I loved it!

😋 Let's take a look at the food:: The food was neatly prepared. It was a line buffet where everyone could refill as much as they wanted. There was a wide selection of food  including cocktails  wine  and soft drinks.

What's on the Line Buffet menu?
** Appetizers:: Potato chips  peanuts  peas  and soybean halves served in beautiful wine glasses. Enjoyable snacks.**** Mushroom soup with truffle oil served with crispy bread for 150 baht:: I can tell you that this wasn't as rich as I thought it would be  because it came with crispy bread 🍞  which went really well together. The mushroom soup was rich and the bread was crispy and cut into cute cubes.
** Grilled Chicken :: Grilled chicken served with jaew sauce. 🐔 The chicken was fragrant and delicious  the meat was tender  and the jaew sauce was good  not too spicy. 😋 The flavor was good.
** Stir-fried Curry Powder :: This dish was also delicious. The flavor was rich with curry powder. 😋 It was fragrant and sweet.
** Kale and Crispy Pork :: The kale was very fresh. 👌 Stir-fried to perfection. 🐷 The crispy pork was very crispy and tender. ♨ It was delicious when eaten with hot rice.
** Salmon Spicy Salad :: This dish we ate twice. The flavor was very spicy. 😋 There was a little wasabi sprinkled on the edges. 🐠 The salmon was fresh and very sweet. I really liked this dish.
** Four Cheese Pizza :: Baked fresh 🍕 The crust was very crispy  the cheese wasn't too gooey. 😋 The flavor was rich and delicious. I enjoyed several pieces.
** Crispy Chicken and Lemongrass Salad :: This dish is for those who love the aroma of lemongrass. The crispy chicken is delicious and flavorful  not too spicy. It's another perfect snack.
** Buffalo Wings & Gorgonzola Sauce :: Tender and delicious chicken 🐔 topped with a special sauce that's a bit sour but not too spicy. The sauce is incredibly juicy and generous.

Desserts 😋
** Lod Chong in Coconut Milk :: Lod Chong is served in a wine glass decorated with beautiful banana leaves and ice to scoop into. I thought the Lod Chong was a bit too firm 😋  not soft  but the coconut milk was good 👌  quite tasty.
** Pudding :: The pudding is incredibly dense and smooth. It's great with sliced ​​fruit 😍
** Fruit Tart :: The tart itself wasn't impressive  but the overall presentation is beautiful 😋 and very appetizing. The fruit is fresh and clean.

Drinks ♨
** Cocktails :: We have a full menu.
** Wine :: White and red wine 🍷 We also have a full menu.
** Soft Drinks :: Water  soft drinks (Coke  Orange Juice  Fanta). For those who don't drink alcohol 4K Café Cross Vibe Bangkok Sukhumvit Hotel This is the breakfast area for Cross Vibe Bangkok hotel. The equivalent of $15 for all you can graze. The food is not that fantastic. This is not worth it for an outsider. 4K Café Cross Vibe Bangkok Sukhumvit Hotel  ",6,
19,501 Home Cook,"501 Home Cook Delicious! Looking forward to the next new dish. 501 Home Cook Very nice thai kitchen  recommend 501 Home Cook Hidden gems in Bantadtong
When I say hidden  I mean really hidden—I had a hard time finding the restaurant at first. Get your google map ready!

I was so impressed to learn that the chef started as a passionate home cook before opening this place.

They’re only open on Saturdays and Sundays  and reservations are required.

Creamy mushroom soup with espuma foam & garlic bread – Absolutely delicious  rich yet airy. A great start with a warm welcome.

Summer salad – Light  fresh  and cooling. Watermelon was perfectly match for Bangkok's hot day.

Sashimi with ponzu sauce – I wished for more acidity and brightness here. Personally  I’d love a sharper punch—maybe passionfruit or mango would elevate it. Still  not a bad dish at all.

Duck breast (instead of beef tongue) – Since my group doesn’t eat beef  the chef kindly swapped in duck. Generous portions  with perfectly crispy skin  rendered fat  and tender meat. A highlight!

Garden salad – Simple and refreshing.

Crispy pork belly – Wow. One of the best I’ve ever had! The grill chili dip (Nam Prik Noom) was an amazing pairing  and the Chinese-style sauce with coriander and sesame oil worked beautifully too.

Pan-fried salmon – Great sear  still super moist inside. Just a touch more salt would have balanced it better. The spicy avocado and creamy mustard sauces complemented it nicely.

Japanese cold noodle – A surprisingly light and satisfying way to end the savory courses.

Watermelon & strawberry granita with whipped cream cheese – great dish. You can ask for refill!

Overall  a true hidden gems! Really enjoy the night here. Highly recommended! 501 Home Cook Great moment with great vibe and awesome meal served in course. Dry aged beef steak  and Crispy pork are must. Small party is suitable. 501 Home Cook Delicious! Pim and her husband were incredibly gracious hosts serving an incredible meal that was deliciously surprising each coarse. Eat all of it of course  but yes  the Beef Tongue (my first)  Crispy Pork Belly  Dry Aged Beef Steak  and Granita were fantastic. ",0,Various Menus & Quality Food
20,57th Street Marriott Sukhumvit 57,"57th Street Marriott Sukhumvit 57  57th Street Marriott Sukhumvit 57 I've been there 3 times already. The first time I booked a promotional package and it worked fine without any problems. However  my intention was to go on a day with crab legs  but the staff didn't inform me that there were no crab legs on Fridays  only other seafood. This was okay as a substitute.
The salad and cheese section had a good variety  as expected; cheese board lovers would enjoy it.
The sashimi was fresh and the fish quality was good. I don't usually eat tuna  but the tuna that day was good. The other items were also good.
The seafood  like the sweet clams  shrimp  and squid  was great.
The duck with berry sauce was delicious. The Thai food section was okay.
As for brunch on Wednesdays and Saturdays  they have crab legs  and there's a cold soba and miso section. I went two Saturdays and it was okay. Some seafood items were removed  but other items were available as usual. The service from the staff was sometimes good  sometimes slow  but it maintained the hotel standard.
For the promotional price of 8xx per person  it's still considered good value. 57th Street Marriott Sukhumvit 57 I went there for lunch. It seems like you can get in without a reservation during weekday lunches. I ordered the lunch set. The appetizer was som tam salad  and the main course was pad thai  for 550 baht. It was stylish and delicious. I asked for the som tam to be only mildly spicy  but it was still too spicy for me  who doesn't like spicy food. The restaurant has a relaxed atmosphere and is often used by business groups or for lunch during business meetings. 57th Street Marriott Sukhumvit 57 This is a dining restaurant on the first floor of the Marriott Hotel.
We went there for lunch.
There are many inexpensive restaurants nearby  so it was quite empty.
The other customers seemed to be there for a company event.
The only customers were two groups of people from their company and us.
We ordered Thai food with a slight spiciness  but it was so spicy that we could barely eat it.
Japanese people should order it non-spicy! 57th Street Marriott Sukhumvit 57 Well enough 57th Street Marriott Sukhumvit 57 hotel lodging point_of_interest establishment  57th Street Marriott Sukhumvit 57 hotel lodging point_of_interest establishment  57th Street Marriott Sukhumvit 57 hotel lodging point_of_interest establishment  57th Street Marriott Sukhumvit 57 hotel lodging point_of_interest establishment  57th Street Marriott Sukhumvit 57 hotel lodging point_of_interest establishment ",5,
21,61 Bistro,61 Bistro A not-so-secret restaurant near Phatthanakan. Great food  excellent service. The staff recommended dishes that I really liked. Good prices. Highly recommended! Importantly  the restaurant is also a We Learn member  which is very impressive. 61 Bistro Delicious food and great service! I come here very often 😍 61 Bistro Valentine Promotion free Lava Cake 61 Bistro The food was delicious! I highly recommend the picanha salad; it was incredibly tasty. The prices were reasonable  the atmosphere was great  and the staff were very helpful. 61 Bistro The food was delicious  the service was excellent  and the atmosphere in the restaurant was great. ,0,Various Menus & Quality Food
22,77 JET SIP JET,77 JET SIP JET  77 JET SIP JET The food was delicious and the atmosphere was great. Perfect for parties and gatherings. 77 JET SIP JET A lovely restaurant with delicious and reasonably priced food. Good value for money  and decent wine. 77 JET SIP JET It's a small restaurant with a relaxed atmosphere  delicious food  good wine  and excellent prices. Parking is available on the street. 77 JET SIP JET The atmosphere of the restaurant is very good. The food is delicious  especially the crispy pork with chili and salt. It's made quickly and very delicious. The singers and musicians are very good and very nice. ,0,Various Menus & Quality Food
23,7th Street Bar & Bistro Mega Bangna,7th Street Bar & Bistro Mega Bangna  7th Street Bar & Bistro Mega Bangna  7th Street Bar & Bistro Mega Bangna Good menu and good food  thai and western. Live music and great service. Fans and air conditioning. Good place to eat at the mall and not as loud/busy as some of the other places. Outdoor seating also available but the band is on inside. Sports on too with multiple TV's. 7th Street Bar & Bistro Mega Bangna  7th Street Bar & Bistro Mega Bangna The music is great and the menu is amazing! I love it. ,3,Good Location
24,82 Concept,82 Concept The staff member was very lovely. 82 Concept  82 Concept It was so delicious I forgot to take pictures! 82 Concept I frequent this restaurant because I visit relatives and shop at Central. The food is delicious; I especially like the glass noodle salad  the stir-fried pork with basil and rice (they add edible flowers for extra aroma)  and the crab fried rice – a huge portion with lots of crab  enough for two people. Street food fried rice has three times less crab than this! 82 Concept A restaurant with a great atmosphere  located near the airport  and the food is delicious. ,0,Various Menus & Quality Food
25,8855 Restaurant & Bar,"8855 Restaurant & Bar 8855 is one of those places in BKK that just feels comfortable from the moment you walk in and makes everyone feel welcome.
The food is consistently excellent. Whether you’re in the mood for authentic Thai dishes or craving American or English-style comfort food  everything tastes the way it should. Portions are generous  the menu has great variety  and the quality never slips.
What really sets 8855 apart is the service. Even though it’s an American-owned spot  the service follows true Thai standards — warm  attentive  and genuinely hospitable. Manao  Corn  and Max are hands down some of the best servers you’ll find on Soi 8. They’re friendly  professional  and always make sure you’re taken care of without being overbearing.
The atmosphere is casual and inviting  with good music  easy conversation  and a steady mix of regulars and visitors. You can also tell the owners are always around and paying attention  which shows in how smoothly everything runs.
If you’re on Soi 8 and want great food  great service  and a welcoming vibe  8855 is an easy choice. 8855 Restaurant & Bar The food tasted delicious  the staff provided good advice and service  and they were friendly  smiling  and fun to talk to. 🫶🩷🩷🩷🩷🩷 8855 Restaurant & Bar Tasty traditional food. Need to recommend “must try” dish. 8855 Restaurant & Bar I ordered a steak and my partner ordered a Pad Thai. I was really craving western food and sadly the steak was disappointing. For the price I expected better quality  however my partner said his meal was excellent. 8855 Restaurant & Bar Quiet but we were early  three of eating. Great service and very tasty food. Great value too!! Thank you  see you again soon! ",3,Good Location
26,A JUM MA Specialty Kimbap,A JUM MA Specialty Kimbap Delicious  good stuff  must try. A JUM MA Specialty Kimbap The food is delicious and varied  the prices are good  and the staff provides good service. The only downside is that they don't provide many side dishes  so you have to order more. A JUM MA Specialty Kimbap The food is delicious  and the kimbap has many toppings to choose from. A JUM MA Specialty Kimbap  A JUM MA Specialty Kimbap  ,0,Various Menus & Quality Food
